Protein	Family,,Description
P66166	PIRSF002210,,50S ribosomal protein L29
P66221	N/A,,N/A
P66330	PIRSF002128,,ribosomal protein, S10p/S10a/S20e/organellar S10 types
P66372	PIRSF002133,,ribosomal protein, S12p/S12a/S23e/organellar S12 types
P66383	PIRSF002134,,ribosomal protein, S13p/S13a/S18e/organellar S13 types
P66484	PIRSF002144,,ribosomal protein, S19p/S19a/S15e/organellar S19 types
P66503	N/A,,N/A
P66607	PIRSF002122,,ribosomal protein, S7p/S7a/S5e/organellar S7 types
P66608	PIRSF002122,,ribosomal protein, S7p/S7a/S5e/organellar S7 types
P66611	PIRSF002122,,ribosomal protein, S7p/S7a/S5e/organellar S7 types
P66699	PIRSF000752,,DNA-directed RNA polymerase, alpha subunit
P66794	PIRSF036407,,selenophosphate synthetase
P66808	N/A,,N/A
P67080	PIRSF004848,,pyridoxal 5'-phosphate-dependent enzyme, YBL036c type
P67176	PIRSF005875,,hypothetical protein MG332
P67911	PIRSF001460,,ADPglyceromanno-heptose 6-epimerase
P68066	PIRSF000378,,glycyl radical cofactor protein YfiD
P68067	PIRSF000378,,glycyl radical cofactor protein YfiD
P68187	PIRSF002759,,inner membrane protein MalK
P68191	PIRSF002149,,ribosomal protein S22
P68206	PIRSF039008,,stress response protein YjbJ
P68567	PIRSF016106,,S-adenosyl-L-methionine dependent methyltransferase, yhiQ bacterial type
P68571	PIRSF036659,,disulfide bond formation protein C (disulfide oxidoreductase C)
P68575	N/A,,N/A
P68579	PIRSF002787,,ATP-dependent ABC transporter, HlyB type
P68681	N/A,,N/A
P68685	N/A,,N/A
P68918	PIRSF002203,,ribosomal protein L25p
P69222	N/A,,N/A
P69224	N/A,,N/A
P69227	N/A,,N/A
P69409	PIRSF002868,,response regulator, NarL type
P69410	PIRSF002868,,response regulator, NarL type
P69428	N/A,,N/A
P69441	PIRSF000734,,adenylate kinase
P69503	N/A,,N/A
P69776	PIRSF002855,,murein-lipoprotein
P69783	PIRSF000697,,phosphotransferase system glucose-specific enzyme II, factor III
P69786	N/A,,N/A
P69791	PIRSF000699,,phosphotransferase system, lactose/cellobiose-specific component IIA
P69795	PIRSF006469,,phosphotransferase system enzyme II cellobiose-specific factor IIB
P69797	PIRSF037247,,PTS system mannose-specific EIIAB component
P69799	PIRSF037247,,PTS system mannose-specific EIIAB component
P69807	PIRSF000682,,phosphotransferase system mannose-specific enzyme II, factor II-M
P69811	PIRSF000688,,fructose phosphotransferase protein
P69824	PIRSF000687,,PTS system, mannitol-specific EIIA component
P69828	PIRSF000687,,PTS system, mannitol-specific EIIA component
P69829	PIRSF000687,,PTS system, mannitol-specific EIIA component
P69908	PIRSF001334,,glutamate decarboxylase
P69910	PIRSF001334,,glutamate decarboxylase
P69911	PIRSF001334,,glutamate decarboxylase
P69913	N/A,,N/A
P69915	N/A,,N/A
P69923	PIRSF001516,,isomerase FucI
P69925	N/A,,N/A
P70949	PIRSF006472,,conserved hypothetical protein MJ1129
P70974	PIRSF002181,,ribosomal protein, L13p/L13Aa/L16e/organellar L13 types
P70976	N/A,,N/A
P70996	N/A,,N/A
P71005	N/A,,N/A
P71012	N/A,,N/A
P71021	N/A,,N/A
P71035	PIRSF001224,,urease, beta subunit
P71036	N/A,,N/A
P71051	N/A,,N/A
P71055	N/A,,N/A
P71067	PIRSF006193,,L-lactate permease
P71073	N/A,,N/A
P71083	PIRSF029901,,membrane protein
P71086	N/A,,N/A
P71088	PIRSF029141,,sporulation control protein Spo0M
P71104	PIRSF000722,,acetate/propionate kinase
P71447	PIRSF000895,,phosphoglycolate phosphatase
P71590	N/A,,N/A
P71594	N/A,,N/A
P71599	N/A,,N/A
P71622	PIRSF037521,,antitoxin of toxin-antitoxin stability system, SEE0023 type
P71635	N/A,,N/A
P71640	N/A,,N/A
P71658	N/A,,N/A
P71668	PIRSF006015,,esterase
P71699	N/A,,N/A
P71707	PIRSF002798,,penicillin-binding protein 1A
P71737	PIRSF004694,,uncharacterized protein with CBS domain pair, YhcV type
P71738	N/A,,N/A
P71741	PIRSF015948,,hypothetical protein, Schizosaccharomyces pombe SPAC4H3.03c type
P71792	N/A,,N/A
P71890	N/A,,N/A
P71897	N/A,,N/A
P71977	N/A,,N/A
P72062	N/A,,N/A
P72151	PIRSF002961,,flagellin
P72584	PIRSF015836,,leucine zipper-containing protein AT103
P72585	N/A,,N/A
P72619	N/A,,N/A
P72641	PIRSF000734,,adenylate kinase
P72648	PIRSF000736,,guanylate kinase
P72655	N/A,,N/A
P72656	N/A,,N/A
P72659	PIRSF005499,,polyribonucleotide nucleotidyltransferase
P72661	PIRSF000106,,malic enzyme
P72673	N/A,,N/A
P72674	N/A,,N/A
P72689	PIRSF003012,,translation initiation factor IF-2
P72697	PIRSF005929,,bacterioferritin comigratory protein
P72705	PIRSF005884,,conserved hypothetical protein sll0226
P72706	N/A,,N/A
P72721	PIRSF005935,,probable 65K flavoprotein
P72723	PIRSF005935,,probable 65K flavoprotein
P72738	N/A,,N/A
P72746	PIRSF036377,,signal transduction protein with FHA, Pas, GGDEF, EAL domains
P72747	PIRSF036377,,signal transduction protein with FHA, Pas, GGDEF, EAL domains
P72748	N/A,,N/A
P72756	N/A,,N/A
P72757	N/A,,N/A
P72758	PIRSF037250,,bifunctional carbon dioxide concentrating mechanism protein CcmM
P72760	PIRSF015828,,carboxysome/polyhedral organelle shell protein, CcmK/EutK/PduA type;;PIRSF500171,,carboxysome/polyhedral organelle shell protein, CcmK/EutK/PduA short type [Parent=PIRSF015828]
P72761	PIRSF015828,,carboxysome/polyhedral organelle shell protein, CcmK/EutK/PduA type;;PIRSF500171,,carboxysome/polyhedral organelle shell protein, CcmK/EutK/PduA short type [Parent=PIRSF015828]
P72781	N/A,,N/A
P72788	N/A,,N/A
P72791	N/A,,N/A
P72797	PIRSF000419,,transaldolase
P72805	N/A,,N/A
P72815	N/A,,N/A
P72827	PIRSF002825,,ferric binding protein
P72835	PIRSF000329,,UbiH protein
P72845	PIRSF026420,,uncharacterized conserved protein
P72849	PIRSF000343,,heme oxygenase (decyclizing)
P72854	PIRSF000244,,sulfite/ferredoxin-nitrite reductase;;PIRSF500145,,sulfite reductase [Parent=PIRSF000244]
P72864	PIRSF001364,,2-dehydro-3-deoxyphosphooctonate aldolase
P72866	PIRSF002138,,ribosomal protein S15
P72870	PIRSF000081,,phycocyanin
P72871	PIRSF000497,,methionine adenosyltransferase
P72877	PIRSF037051,,tyrosine-protein kinase
P72878	N/A,,N/A
P72884	N/A,,N/A
P72899	N/A,,N/A
P72932	PIRSF005905,,high light-inducible protein
P72937	N/A,,N/A
P72940	PIRSF000544,,adenylylsulfate kinase
P72954	N/A,,N/A
P72965	PIRSF000512,,thiamine-phosphate pyrophosphorylase, Cyanobacteria type
P72990	N/A,,N/A
P72998	N/A,,N/A
P73008	N/A,,N/A
P73010	N/A,,N/A
P73020	PIRSF006572,,class I divalent-metal ion chelatase, tetrapyrrole-binding subunit, ChlH/CobN type;;PIRSF500297,,magnesium chelatase, subunit H [Parent=PIRSF006572]
P73035	N/A,,N/A
P73040	N/A,,N/A
P73053	N/A,,N/A
P73067	PIRSF005462,,deoxyxylulose-5-phosphate synthase
P73091	N/A,,N/A
P73093	PIRSF005898,,phycobilisome rod linker polypeptide, phycocyanin-associated
P73117	N/A,,N/A
P73120	N/A,,N/A
P73122	N/A,,N/A
P73127	PIRSF004936,,S-adenosyl-L-dependent radical SAM enzyme, miab type
P73152	N/A,,N/A
P73153	N/A,,N/A
P73154	N/A,,N/A
P73173	N/A,,N/A
P73193	N/A,,N/A
P73202	N/A,,N/A
P73203	PIRSF005898,,phycobilisome rod linker polypeptide, phycocyanin-associated
P73204	PIRSF005898,,phycobilisome rod linker polypeptide, phycocyanin-associated
P73207	N/A,,N/A
P73210	N/A,,N/A
P73218	PIRSF002798,,penicillin-binding protein 1A
P73240	N/A,,N/A
P73243	N/A,,N/A
P73253	N/A,,N/A
P73257	PIRSF001440,,argininosuccinate lyase
P73273	PIRSF001297,,Na(+)/K(+)-transporting ATPase alpha chain
P73274	PIRSF001523,,leucine-tRNA ligase
P73282	PIRSF000418,,transketolase
P73290	PIRSF001578,,adenylosuccinate synthase
P73292	N/A,,N/A
P73294	PIRSF002181,,ribosomal protein, L13p/L13Aa/L16e/organellar L13 types
P73299	PIRSF002134,,ribosomal protein, S13p/S13a/S18e/organellar S13 types
P73304	PIRSF002120,,ribosomal protein S5p/S5a/S2e/organellar S5
P73305	PIRSF002188,,ribosomal protein L18
P73307	PIRSF002126,,30S ribosomal protein S8
P73308	PIRSF002161,,ribosomal protein, L5p/L5a/L11e/organellar L5 types
P73314	N/A,,N/A
P73315	N/A,,N/A
P73317	PIRSF002158,,ribosomal protein, L2p/L2a/L8e/organellar L2 types
P73318	N/A,,N/A
P73321	PIRSF005900,,ferritin-like protein, Dps type
P73334	PIRSF000764,,DNA-directed RNA polymerase, beta'/beta'' subunit;;PIRSF500402,,DNA-directed RNA polymerase, beta' chain [Parent=PIRSF000764]
P73370	PIRSF009135,,uncharacterized conserved protein
P73374	PIRSF006150,,RNA methyltransferase, RumA/RumB/RumT types;;PIRSF500395,,iron-sulfur cluster containing rRNA (uracil-5-)-methyltransferase, RumA type [Parent=PIRSF006150]
P73375	PIRSF037611,,threonine dehydratase/serine racemace;;PIRSF501169,,threonine dehydratase with two C-terminal regulatory domains [Parent=PIRSF037611]
P73376	N/A,,N/A
P73380	N/A,,N/A
P73393	PIRSF016425,,uncharacterized conserved protein alr4158
P73404	N/A,,N/A
P73409	PIRSF039166,,surface layer protein
P73411	PIRSF000110,,glucose-6-phosphate dehydrogenase
P73412	PIRSF002791,,excinuclease ABC chain A
P73418	PIRSF002095,,DNA-binding protein HU, alpha/beta subunits
P73419	N/A,,N/A
P73451	N/A,,N/A
P73452	N/A,,N/A
P73455	PIRSF038324,,rare lipoprotein A
P73458	N/A,,N/A
P73469	PIRSF000645,,serine/threonine-protein kinase, SpkF type
P73487	PIRSF006543,,metal-dependent hydrolase (amidohydrolase)
P73488	N/A,,N/A
P73501	PIRSF004920,,maturation protease, PmbA type
P73505	PIRSF001524,,isoleucine-tRNA ligase
P73530	N/A,,N/A
P73534	PIRSF000678,,pyruvate kinase
P73545	N/A,,N/A
P73552	N/A,,N/A
P73553	PIRSF006395,,YhdC protein
P73563	PIRSF005905,,high light-inducible protein
P73580	PIRSF003143,,excinuclease ABC chain C
P73581	N/A,,N/A
P73583	N/A,,N/A
P73589	N/A,,N/A
P73592	PIRSF019689,,AdoCbl biosynthesis enzyme, GlcG type
P73596	PIRSF019689,,AdoCbl biosynthesis enzyme, GlcG type
P73597	PIRSF029768,,imidase
P73607	PIRSF002930,,sporulation protein stage II
P73609	PIRSF002930,,sporulation protein stage II
P73617	PIRSF000487,,anthranilate phosphoribosyltransferase
P73632	PIRSF039102,,D-alanine--D-alanine ligase/D-alanine--D-lactate ligase
P73648	PIRSF005849,,phosphomannomutase
P73652	N/A,,N/A
P73654	N/A,,N/A
P73701	N/A,,N/A
P73704	N/A,,N/A
P73705	N/A,,N/A
P73707	PIRSF005923,,hypothetical protein slr1203
P73721	PIRSF039085,,ABC-type amino acid transport system, ATPase component, HisP type
P73722	N/A,,N/A
P73728	PIRSF015858,,peroxiredoxin
P73736	N/A,,N/A
P73746	N/A,,N/A
P73755	PIRSF002831,,S-adenosyl-L-methionine dependent tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
P73765	N/A,,N/A
P73801	PIRSF006149,,hypothetical protein slr1261
P73810	PIRSF006048,,DNA topoisomerase I
P73821	PIRSF000121,,D-3-phosphoglycerate dehydrogenase with ACT domain
P73823	N/A,,N/A
P73824	PIRSF000303,,glutathione peroxidase
P73826	N/A,,N/A
P73833	N/A,,N/A
P73834	N/A,,N/A
P73849	PIRSF016034,,2-phosphosulfolactate phosphatase
P73866	PIRSF001294,,H(+)/K(+)-transporting ATPase, subunit A
P73867	PIRSF001295,,H(+)/K(+)-transporting ATPase chain B
P73876	N/A,,N/A
P73886	PIRSF006641,,GTP-dependent nucleic acid-binding protein, EngD type
P73922	PIRSF004532,,fructose-1,6-bisphosphatase, GlpX type
P73926	N/A,,N/A
P73930	PIRSF003098,,cell division protein FtsY
P73933	N/A,,N/A
P73953	N/A,,N/A
P73954	N/A,,N/A
P73960	PIRSF000107,,3-isopropylmalate dehydrogenase;;PIRSF500543,,3-isopropylmalate dehydrogenase [Parent=PIRSF000107]
P73973	PIRSF037515,,Antitoxin of toxin-antitoxin stability system, YefM type
P73982	N/A,,N/A
P73985	N/A,,N/A
P73998	N/A,,N/A
P74002	N/A,,N/A
P74007	PIRSF000973,,guanosine 3',5'-bis(diphosphate) 3'-pyrophosphatase
P74020	N/A,,N/A
P74027	PIRSF005849,,phosphomannomutase
P74044	N/A,,N/A
P74057	N/A,,N/A
P74074	PIRSF017984,,PIRSF017984
P74078	N/A,,N/A
P74102	N/A,,N/A
P74106	PIRSF001454,,cyclase HisF
P74122	PIRSF005927,,glutamate N-acetyltransferase ArgJ
P74126	PIRSF026434,,response regulator with Ycf55-like domain
P74135	N/A,,N/A
P74142	N/A,,N/A
P74153	PIRSF017993,,PIRSF017993
P74157	N/A,,N/A
P74175	N/A,,N/A
P74176	N/A,,N/A
P74182	N/A,,N/A
P74184	N/A,,N/A
P74186	PIRSF019169,,Tfp pilus assembly protein, ATPase PilM
P74189	N/A,,N/A
P74195	N/A,,N/A
P74210	N/A,,N/A
P74214	PIRSF002107,,signal recognition particle, SRP54/Ffh subunit
P74216	PIRSF002798,,penicillin-binding protein 1A
P74226	PIRSF002128,,ribosomal protein, S10p/S10a/S20e/organellar S10 types
P74227	PIRSF003007,,translation elongation factor Tu
P74229	PIRSF002122,,ribosomal protein, S7p/S7a/S5e/organellar S7 types
P74230	PIRSF002133,,ribosomal protein, S12p/S12a/S23e/organellar S12 types
P74233	N/A,,N/A
P74236	N/A,,N/A
P74241	N/A,,N/A
P74242	N/A,,N/A
P74251	N/A,,N/A
P74275	PIRSF000197,,bifunctional proline dehydrogenase/Delta-1-pyrroline-5-carboxylate dehydrogenase (PutA)
P74281	PIRSF000524,,serine--pyruvate aminotransferase
P74282	N/A,,N/A
P74296	PIRSF001547,,phenylalanine-tRNA ligase beta chain
P74297	PIRSF000647,,serine/threonine-protein kinase with pentapeptide domains
P74299	PIRSF001347,,phosphoenolpyruvate carboxylase
P74305	N/A,,N/A
P74308	PIRSF000097,,aldo-keto reductase
P74309	N/A,,N/A
P74314	N/A,,N/A
P74326	PIRSF002930,,sporulation protein stage II
P74334	PIRSF016018,,carotenoid oxygenase
P74335	N/A,,N/A
P74339	N/A,,N/A
P74350	N/A,,N/A
P74352	PIRSF038389,,DNA-directed RNA polymerase, omega subunit
P74360	PIRSF018629,,PIRSF018629
P74361	N/A,,N/A
P74390	PIRSF002795,,LIV-binding protein
P74409	PIRSF004659,,hypothetical protein HI0107
P74413	N/A,,N/A
P74419	N/A,,N/A
P74421	PIRSF000724,,phosphoglycerate kinase
P74426	N/A,,N/A
P74427	N/A,,N/A
P74433	PIRSF037221,,uncharacterized conserved protein
P74444	N/A,,N/A
P74447	N/A,,N/A
P74448	N/A,,N/A
P74450	N/A,,N/A
P74451	N/A,,N/A
P74457	PIRSF005650,,uridylate kinase
P74461	N/A,,N/A
P74463	PIRSF005742,,Tfp pilus assembly protein, PilU/PilT types;;PIRSF500618,,Tfp pilus assembly protein, pilus retraction ATPase PilT [Parent=PIRSF005742]
P74466	N/A,,N/A
P74474	N/A,,N/A
P74485	N/A,,N/A
P74486	N/A,,N/A
P74494	PIRSF000735,,nucleoside diphosphate kinase
P74499	N/A,,N/A
P74503	PIRSF039117,,circadian clock protein kinase KaiC
P74507	PIRSF001492,,cofactor-independent phosphoglycerate mutase
P74510	PIRSF000432,,dihydrolipoamide acetyltransferase
P74512	PIRSF001307,,copper-transporting ATPase, CopA type
P74518	PIRSF026371,,PIRSF026371
P74534	N/A,,N/A
P74537	N/A,,N/A
P74541	N/A,,N/A
P74551	PIRSF000081,,phycocyanin
P74566	N/A,,N/A
P74572	PIRSF000193,,pyrroline-5-carboxylate reductase
P74582	PIRSF036687,,aconitase B (aconitate hydratase 2)
P74618	N/A,,N/A
P74640	N/A,,N/A
P74643	PIRSF001493,,phosphoglucomutase
P74658	N/A,,N/A
P74662	N/A,,N/A
P74667	N/A,,N/A
P74682	N/A,,N/A
P74689	PIRSF001396,,dihydroxy-acid dehydratase/phosphogluconate dehydratase;;PIRSF500090,,dihydroxy-acid dehydratase [Parent=PIRSF001396]
P74690	PIRSF017245,,phosphoketolase
P74694	N/A,,N/A
P74698	PIRSF014872,,uncharacterized conserved protein
P74702	PIRSF002583,,heat shock protein, HSP90/HTPG types
P74713	N/A,,N/A
P74720	PIRSF014873,,membrane protein
P74729	PIRSF001459,,UDP-glucose 4-epimerase
P74737	N/A,,N/A
P74739	N/A,,N/A
P74745	PIRSF000648,,serine/threonine-protein kinase, PksC type
P74747	N/A,,N/A
P74749	N/A,,N/A
P74754	N/A,,N/A
P74769	N/A,,N/A
P74772	N/A,,N/A
P74776	N/A,,N/A
P74781	N/A,,N/A
P75033	N/A,,N/A
P75039	N/A,,N/A
P75049	N/A,,N/A
P75050	N/A,,N/A
P75061	PIRSF002739,,phosphocarrier protein
P75080	PIRSF005548,,DNA-directed DNA polymerase III alpha chain PolC
P75089	PIRSF001359,,fructose-bisphosphate aldolase II
P75090	N/A,,N/A
P75093	PIRSF003335,,DNA repair protein RAD5
P75120	N/A,,N/A
P75136	N/A,,N/A
P75159	N/A,,N/A
P75161	PIRSF003057,,ribosome releasing factor
P75170	N/A,,N/A
P75172	N/A,,N/A
P75187	N/A,,N/A
P75205	N/A,,N/A
P75206	PIRSF001116,,cytosol aminopeptidase
P75207	N/A,,N/A
P75223	N/A,,N/A
P75231	PIRSF004804,,hypothetical protein, Mycoplasma genitalium MG369 type
P75245	PIRSF000722,,acetate/propionate kinase
P75250	PIRSF001264,,inorganic pyrophosphatase
P75258	PIRSF001524,,isoleucine-tRNA ligase
P75264	N/A,,N/A
P75271	N/A,,N/A
P75277	N/A,,N/A
P75293	PIRSF005882,,3-hexulose-6-phosphate synthase/3-keto-L-gulonate 6-phosphate decarboxylase;;PIRSF500352,,3-keto-L-gulonate 6-phosphate decarboxylase [Parent=PIRSF005882]
P75301	N/A,,N/A
P75309	PIRSF006485,,GTP-binding protein EngA
P75310	N/A,,N/A
P75313	N/A,,N/A
P75344	PIRSF002581,,chaperone HSP70
P75353	N/A,,N/A
P75354	N/A,,N/A
P75358	PIRSF000149,,glyceraldehyde-3-phosphate dehydrogenase
P75359	PIRSF000428,,phosphate acetyltransferase
P75376	PIRSF005877,,hypothetical protein MG185
P75386	PIRSF000973,,guanosine 3',5'-bis(diphosphate) 3'-pyrophosphatase
P75390	PIRSF000152,,pyruvate dehydrogenase (lipoamide) alpha chain
P75393	PIRSF000210,,dihydrolipoamide dehydrogenase
P75394	PIRSF001574,,lipoate-protein ligase
P75426	N/A,,N/A
P75465	N/A,,N/A
P75469	N/A,,N/A
P75470	N/A,,N/A
P75482	N/A,,N/A
P75493	PIRSF005877,,hypothetical protein MG185
P75497	N/A,,N/A
P75512	PIRSF000077,,thioredoxin
P75518	N/A,,N/A
P75525	PIRSF004796,,conserved hypothetical protein YloO
P75526	PIRSF000736,,guanylate kinase
P75533	PIRSF004644,,aspartyl/glutamyl-tRNA amidotransferase, subunit B
P75542	PIRSF002070,,single-strand binding protein
P75543	N/A,,N/A
P75560	N/A,,N/A
P75569	N/A,,N/A
P75575	N/A,,N/A
P75591	N/A,,N/A
P75691	PIRSF000091,,alcohol dehydrogenase
P75694	N/A,,N/A
P75736	N/A,,N/A
P75809	PIRSF004544,,phosphoglycolate phosphatase
P75818	PIRSF007031,,YbjP protein
P75821	PIRSF001459,,UDP-glucose 4-epimerase
P75949	N/A,,N/A
P76001	N/A,,N/A
P76014	N/A,,N/A
P76015	N/A,,N/A
P76072	N/A,,N/A
P76143	PIRSF038992,,class Ia aldolase
P76182	PIRSF016703,,electron transport complex Rnf, RnfD subunit
P76194	N/A,,N/A
P76268	N/A,,N/A
P76290	PIRSF006325,,S-adenosyl-L-methionine dependent small molecule binding methyltransferase, YecO type
P76387	PIRSF037051,,tyrosine-protein kinase
P76396	PIRSF020634,,uncharacterized protein with vWA domain, TerY type
P76398	N/A,,N/A
P76402	N/A,,N/A
P76536	PIRSF016178,,hypothetical protein, Escherichia coli b2431 type
P76541	PIRSF012290,,polyhedral organelle shell protein, EutL/PduB type
P76552	PIRSF019466,,ethanolamine uptake protein EutH
P76558	PIRSF036684,,malic enzyme with phosphate acetyl/butaryl transferase domain
P76576	PIRSF006170,,protein YfgM
P77172	N/A,,N/A
P77173	N/A,,N/A
P77285	PIRSF006091,,electron transport complex, RnfG protein
P77318	PIRSF000971,,arylsulfatase-like protein
P77365	N/A,,N/A
P77376	PIRSF004908,,GFO/IDH/MocA oxidoreductases
P77395	N/A,,N/A
P77402	N/A,,N/A
P77504	N/A,,N/A
P77510	N/A,,N/A
P77522	PIRSF005847,,iron-sulfur cluster assembly protein, SufB/SufD type;;PIRSF500360,,iron-sulfur cluster assembly protein SufB [Parent=PIRSF005847]
P77552	N/A,,N/A
P77554	N/A,,N/A
P77598	PIRSF006180,,YdfO protein
P77625	PIRSF000895,,phosphoglycolate phosphatase
P77627	PIRSF019143,,PIRSF019143
P77650	PIRSF000328,,NAD(FAD)-dependent oxidoreductase
P77674	PIRSF000147,,NAD-dependent aldehyde dehydrogenase
P77756	PIRSF006293,,uncharacterized conserved protein, ExsB type
P77804	PIRSF039189,,putative GTP-binding protein
P77961	N/A,,N/A
P77962	PIRSF000412,,serine/glycine hydroxymethyltransferase
P77965	N/A,,N/A
P77968	PIRSF000349,,superoxide dismutase, Mn/Fe specific
P77970	PIRSF005699,,glutamate-ammonia ligase type III
P77972	PIRSF001400,,enolase
P77973	PIRSF001579,,argininosuccinate synthase
P78010	PIRSF001477,,triose-phosphate isomerase
P78012	PIRSF003112,,chaperonin GroEL
P78018	PIRSF000724,,phosphoglycerate kinase
P78022	N/A,,N/A
P78027	PIRSF000356,,ribonucleoside-diphosphate reductase class I, large subunit;;PIRSF500259,,ribonucleoside-disphosphate reductase class I, NrdE type [Parent=PIRSF000356]
P78028	N/A,,N/A
P78032	PIRSF006048,,DNA topoisomerase I
P78285	PIRSF001067,,phage lysozyme
P80046	PIRSF000107,,3-isopropylmalate dehydrogenase;;PIRSF500541,,isocitrate dehydrogenase (NADP) [Parent=PIRSF000107]
P80239	PIRSF000239,,peroxiredoxin, AhpC type
P80240	PIRSF006092,,transcription elongation factor GreA/GreB
P80244	N/A,,N/A
P80505	PIRSF000149,,glyceraldehyde-3-phosphate dehydrogenase
P80507	PIRSF001264,,inorganic pyrophosphatase
P80643	PIRSF002734,,acyl/peptidyl carrier protein
P80698	PIRSF003095,,FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)
P80700	N/A,,N/A
P80858	PIRSF006442,,3-isopropylmalate dehydratase, large subunit
P80859	PIRSF000109,,phosphogluconate dehydrogenase (decarboxylating)
P80860	PIRSF001482,,glucose-6-phosphate isomerase
P80865	PIRSF001553,,succinyl-CoA synthetase, alpha subunit
P80866	N/A,,N/A
P80868	PIRSF003013,,translation elongation factor G
P80870	N/A,,N/A
P80871	PIRSF000221,,NAD(P)H dehydrogenase (quinone) 2
P80875	N/A,,N/A
P80877	PIRSF000382,,cobalamin-independent methionine synthase
P80879	PIRSF005900,,ferritin-like protein, Dps type
P80885	PIRSF000678,,pyruvate kinase;;PIRSF500293,,pyruvate kinase, cytosolic isozyme [Parent=PIRSF000678]
P80886	PIRSF001554,,succinyl-CoA synthetase, beta subunit
P80918	PIRSF002734,,acyl/peptidyl carrier protein
P80920	PIRSF002734,,acyl/peptidyl carrier protein
P80921	PIRSF002734,,acyl/peptidyl carrier protein
P80922	PIRSF002734,,acyl/peptidyl carrier protein
P80923	PIRSF002734,,acyl/peptidyl carrier protein
P81100	N/A,,N/A
P81101	PIRSF003057,,ribosome releasing factor
P81102	N/A,,N/A
P81181	PIRSF001482,,glucose-6-phosphate isomerase
P94335	PIRSF001562,,UDP-N-acetylmuramate-alanine ligase
P94360	PIRSF002759,,inner membrane protein MalK
P94364	PIRSF006446,,cytochrome quinol oxidase, subunit 1
P94400	N/A,,N/A
P94409	PIRSF016428,,PIRSF016428
P94417	N/A,,N/A
P94425	PIRSF018856,,monooxygenase, Rv0793 type
P94459	PIRSF001610,,non-ribosomal peptide synthetase
P94521	PIRSF001123,,glutamyl aminopeptidase, PepA type
P94534	PIRSF000139,,glycolate oxidase, iron-sulfur subunit
P94538	PIRSF005783,,tRNA/rRNA methyltransferase, group 3, TrmH type
P94547	N/A,,N/A
P94549	PIRSF001407,,AU-specific RNA-binding protein AUH
P94565	PIRSF005481,,2-isopropylmalate synthase LeuA
P94592	PIRSF004544,,phosphoglycolate phosphatase
P94996	PIRSF005998,,mycocerosic acid synthase
P95017	N/A,,N/A
P95029	N/A,,N/A
P95032	N/A,,N/A
P95034	PIRSF000328,,NAD(FAD)-dependent oxidoreductase
P95087	PIRSF010618,,uncharacterized conserved protein
P95090	PIRSF001493,,phosphoglucomutase
P95125	PIRSF006015,,esterase
P95137	N/A,,N/A
P95144	N/A,,N/A
P95172	N/A,,N/A
P95185	PIRSF000091,,alcohol dehydrogenase
P95186	N/A,,N/A
P95189	PIRSF004949,,metal-dependent/Li(+)-inhibited phosphomonoesterase;;PIRSF500194,,PIRSF500194 [Parent=PIRSF004949]
P95197	N/A,,N/A
P95217	PIRSF036553,,transcriptional regulator/uroporphyrinogen-III synthase
P95225	N/A,,N/A
P95257	N/A,,N/A
P95290	N/A,,N/A
P95690	PIRSF000789,,DNA polymerase
P95691	PIRSF003012,,translation initiation factor IF-2
P95867	PIRSF006337,,glycosyltrehalose trehalohydrolase
P95871	PIRSF036421,,tricorn protease
P95879	N/A,,N/A
P95907	PIRSF000538,,keto-sugar kinase
P95931	PIRSF004544,,phosphoglycolate phosphatase
P95949	PIRSF037307,,Lhr-like ATP-dependent RNA helicase
P95957	PIRSF004664,,transferases /transferring nitrogenous groups /transaminases
P95968	PIRSF001541,,glutamine-tRNA ligase
P95970	N/A,,N/A
P95979	PIRSF000789,,DNA polymerase
P95980	PIRSF006345,,conserved hypothetical protein MJ1206
P95991	PIRSF002181,,ribosomal protein, L13p/L13Aa/L16e/organellar L13 types
P96041	PIRSF001526,,alanyl-tRNA ligase
P96076	N/A,,N/A
P96217	N/A,,N/A
P96218	PIRSF000186,,glutamate synthase large subunit/ferredoxin-dependent glutamate synthase;;PIRSF500059,,glutamate synthase, large subunit [Parent=PIRSF000186]
P96258	PIRSF017076,,hypothetical protein, Mycobacterium tuberculosis Rv0412c type
P96267	N/A,,N/A
P96270	N/A,,N/A
P96271	N/A,,N/A
P96284	N/A,,N/A
P96285	N/A,,N/A
P96288	N/A,,N/A
P96291	PIRSF005998,,mycocerosic acid synthase
P96353	N/A,,N/A
P96356	N/A,,N/A
P96374	PIRSF037855,,stringent response related exopolyphosphatase/guanosine pentaphosphate phosphohydrolase 
P96396	N/A,,N/A
P96399	PIRSF006015,,esterase
P96404	PIRSF001407,,AU-specific RNA-binding protein AUH
P96409	PIRSF017069,,hypothetical protein, Mycobacterium tuberculosis Rv0227c type
P96502	N/A,,N/A
P96585	N/A,,N/A
P96596	N/A,,N/A
P96611	N/A,,N/A
P96613	PIRSF001562,,UDP-N-acetylmuramate-alanine ligase
P96615	N/A,,N/A
P96619	PIRSF036916,,sporulation protein YdcC
P96625	PIRSF027959,,transcriptional regulator, MarR type
P96679	N/A,,N/A
P96683	N/A,,N/A
P96686	PIRSF002868,,response regulator, NarL type
