Protein	Start Site,,End Site,,Family,,Description
P53593	1,,386,,MF_00558,,Succ_CoA_beta,,Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial
P54123	5,,564,,MF_01491,,RNase_J_bact,,Ribonuclease J [rnj]
P54147	N/A,,N/A,,N/A,,N/A
P54156	N/A,,N/A,,N/A,,N/A
P54169	N/A,,N/A,,N/A,,N/A
P54170	N/A,,N/A,,N/A,,N/A
P54205	4,,470,,MF_01338,,RuBisCO_L_type1,,Ribulose bisphosphate carboxylase large chain [rbcL]
P54206	N/A,,N/A,,N/A,,N/A
P54224	7,,347,,MF_00218,,URO_D,,Uroporphyrinogen decarboxylase [hemE]
P54304	N/A,,N/A,,N/A,,N/A
P54375	N/A,,N/A,,N/A,,N/A
P54376	3,,446,,MF_00712,,GcvPA,,Probable glycine dehydrogenase (decarboxylating) subunit 1 [gcvPA]
P54380	1,,281,,MF_00254,,Gly_tRNA_synth_alpha,,Glycine--tRNA ligase alpha subunit [glyQ]
P54390	2,,178,,MF_00760,,UPF0302,,UPF0302 protein 
P54394	2,,930,,MF_02206,,DinG_exonucl,,3'-5' exonuclease DinG [dinG]
P54418	12,,527,,MF_00453,,PEPCK_ATP,,Phosphoenolpyruvate carboxykinase (ATP) [pckA]
P54419	4,,397,,MF_00086,,S_AdoMet_synth1,,S-adenosylmethionine synthase [metK]
P54452	N/A,,N/A,,N/A,,N/A
P54460	3,,311,,MF_00735,,Methyltr_PrmA,,Ribosomal protein L11 methyltransferase [prmA]
P54464	N/A,,N/A,,N/A,,N/A
P54465	N/A,,N/A,,N/A,,N/A
P54470	4,,268,,MF_00921,,PDRP,,Putative pyruvate, phosphate dikinase regulatory protein
P54471	N/A,,N/A,,N/A,,N/A
P54474	N/A,,N/A,,N/A,,N/A
P54496	N/A,,N/A,,N/A,,N/A
P54504	N/A,,N/A,,N/A,,N/A
P54514	N/A,,N/A,,N/A,,N/A
P54517	1,,148,,MF_00169,,AroQ,,Catabolic 3-dehydroquinase [qutE]
P54523	2,,624,,MF_00315,,DXP_synth,,1-deoxy-D-xylulose-5-phosphate synthase [dxs]
P54530	N/A,,N/A,,N/A,,N/A
P54555	1,,448,,MF_01030,,D_Ser_dehydrat,,D-serine dehydratase [dsdA]
P54558	N/A,,N/A,,N/A,,N/A
P54597	N/A,,N/A,,N/A,,N/A
P54601	N/A,,N/A,,N/A,,N/A
P54616	N/A,,N/A,,N/A,,N/A
P54617	N/A,,N/A,,N/A,,N/A
P54691	N/A,,N/A,,N/A,,N/A
P54717	N/A,,N/A,,N/A,,N/A
P54735	N/A,,N/A,,N/A,,N/A
P54741	N/A,,N/A,,N/A,,N/A
P54947	N/A,,N/A,,N/A,,N/A
P55038	N/A,,N/A,,N/A,,N/A
P55342	1,,539,,MF_01867,,BshC,,Putative cysteine ligase BshC [bshC]
P55872	2,,171,,MF_00080,,IF_3,,Translation initiation factor IF-3 [infC]
P55975	1,,354,,MF_00050,,EF_Ts,,Elongation factor Ts, mitochondrial [TSFM]
P55981	N/A,,N/A,,N/A,,N/A
P55986	N/A,,N/A,,N/A,,N/A
P55989	N/A,,N/A,,N/A,,N/A
P55992	1,,773,,MF_01898,,GyrB,,DNA gyrase subunit B [gyrB]
P56069	N/A,,N/A,,N/A,,N/A
P56119	3,,262,,MF_00222,,Shikimate_DH_AroE,,Shikimate dehydrogenase (NADP(+)) [aroE]
P56123	2,,636,,MF_01895,,RNase_R,,Ribonuclease R [rnr]
P56197	2,,424,,MF_00210,,EPSP_synth,,3-phosphoshikimate 1-carboxyvinyltransferase [aroA]
P56258	1,,359,,MF_01002,,WecF_RffT,,TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase [wecF]
P56849	1,,49,,MF_00294,,Ribosomal_L33,,50S ribosomal protein L33 [rpmG]
P56970	2,,86,,MF_00580,,CH10,,10 kDa chaperonin [groS]
P57698	24,,688,,MF_00285,,KdpB,,Potassium-transporting ATPase ATP-binding subunit [kdpB]
P58070	6,,297,,MF_00367,,GTPase_Era,,GTPase Era [era]
P58111	6,,306,,MF_00383,,TF2B_arch,,Transcription initiation factor IIB [tfb]
P58121	3,,147,,MF_01341,,Ribosomal_L15,,50S ribosomal protein L15 [rplO]
P58130	13,,807,,MF_00393,,Glyc3P_acyltrans,,Glycerol-3-phosphate acyltransferase [plsB]
P58176	6,,934,,MF_00049_A,,Leu_tRNA_synth,,Leucine--tRNA ligase [leuS]
P58178	8,,187,,MF_00408,,TATA_bind_prot_arch,,TATA-box-binding protein [tbp]
P58191	8,,62,,MF_00422,,SecE,,Protein translocase subunit SecE [secE]
P58229	N/A,,N/A,,N/A,,N/A
P58233	N/A,,N/A,,N/A,,N/A
P58253	N/A,,N/A,,N/A,,N/A
P58255	N/A,,N/A,,N/A,,N/A
P58262	3,,255,,MF_00443,,ThiG,,Thiazole synthase [thiG]
P58297	N/A,,N/A,,N/A,,N/A
P58363	N/A,,N/A,,N/A,,N/A
P58384	1,,309,,MF_00483,,Rep_term_Tus,,DNA replication terminus site-binding protein [tus]
P58473	3,,427,,MF_00504,,Aminopeptidase_M17,,Peptidase B [pepB]
P58694	6,,466,,MF_00534,,Asn_tRNA_synth,,Asparagine--tRNA ligase [asnS]
P58938	N/A,,N/A,,N/A,,N/A
P59107	1,,643,,MF_01036,,RNase_II,,Exoribonuclease 2 [rnb]
P59132	1,,206,,MF_01306_B,,Ribosomal_S4,,30S ribosomal protein S4 [rpsD]
P59184	1,,206,,MF_01309_B,,Ribosomal_S3,,30S ribosomal protein S3 [rpsC]
P59339	N/A,,N/A,,N/A,,N/A
P59393	5,,347,,MF_00625,,SelD,,Selenide, water dikinase [selD]
P59395	1,,261,,MF_01051,,CaiD,,Carnitinyl-CoA dehydratase [caiD]
P59409	1,,340,,MF_00627,,Thr_dehydrog,,L-threonine 3-dehydrogenase [tdh]
P59444	N/A,,N/A,,N/A,,N/A
P59445	N/A,,N/A,,N/A,,N/A
P59600	3,,382,,MF_01108,,ArgE,,Acetylornithine deacetylase [argE]
P59609	1,,443,,MF_00581,,Arg_succ_synth_type2,,Argininosuccinate synthase [argG]
P59740	4,,302,,MF_00064,,Sulf_adenylyltr_sub2,,Sulfate adenylyltransferase subunit 2 [cysD]
P59746	3,,249,,MF_01246,,COD,,Chitooligosaccharide deacetylase [chbG]
P60071	N/A,,N/A,,N/A,,N/A
P60294	1,,440,,MF_01803,,MukF,,Chromosome partition protein MukF [mukF]
P60339	1,,406,,MF_00118_B,,EF_Tu,,Elongation factor Tu [tuf]
P60357	1,,85,,MF_01507,,UPF0297,,UPF0297 protein 
P60364	2,,545,,MF_00600,,CH60,,60 kDa chaperonin [groL]
P60365	2,,545,,MF_00600,,CH60,,60 kDa chaperonin [groL]
P60384	3,,211,,MF_01131,,Rex,,Redox-sensing transcriptional repressor Rex [rex]
P60422	1,,272,,MF_01320_B,,Ribosomal_L2,,50S ribosomal protein L2 [rplB]
P60424	1,,272,,MF_01320_B,,Ribosomal_L2,,50S ribosomal protein L2 [rplB]
P60429	1,,272,,MF_01320_B,,Ribosomal_L2,,50S ribosomal protein L2 [rplB]
P60438	1,,207,,MF_01325_B,,Ribosomal_L3,,50S ribosomal protein L3 [rplC]
P60440	1,,207,,MF_01325_B,,Ribosomal_L3,,50S ribosomal protein L3 [rplC]
P60464	3,,55,,MF_00751,,SecG,,Preprotein translocase subunit SecG [secG]
P60546	2,,187,,MF_00328,,Guanylate_kinase,,Guanylate kinase [gmk]
P60651	1,,304,,MF_01418,,SpeB,,Agmatinase [speB]
P60718	1,,321,,MF_00206,,Lipoyl_synth,,Lipoyl synthase, organellar chromatophore [LIAS]
P60723	6,,201,,MF_01328_B,,Ribosomal_L4,,50S ribosomal protein L4 [rplD]
P60752	N/A,,N/A,,N/A,,N/A
P60788	1,,597,,MF_00071,,LepA,,Translation factor 
P60908	3,,421,,MF_00127,,His_tRNA_synth,,Histidine--tRNA ligase [hisS]
P60929	8,,200,,MF_01043,,PlsY,,Glycerol-3-phosphate acyltransferase [plsY]
P61055	9,,207,,MF_01328_B,,Ribosomal_L4,,50S ribosomal protein L4 [rplD]
P61175	1,,110,,MF_01331_B,,Ribosomal_L22,,50S ribosomal protein L22 [rplV]
P61177	1,,110,,MF_01331_B,,Ribosomal_L22,,50S ribosomal protein L22 [rplV]
P61488	N/A,,N/A,,N/A,,N/A
P61490	1,,541,,MF_00600,,CH60,,60 kDa chaperonin [groL]
P61493	8,,101,,MF_00580,,CH10,,10 kDa chaperonin [groS]
P61517	N/A,,N/A,,N/A,,N/A
P61518	N/A,,N/A,,N/A,,N/A
P61887	N/A,,N/A,,N/A,,N/A
P61889	1,,311,,MF_01516,,Malate_dehydrog_1,,Malate dehydrogenase [mdh]
P62399	1,,179,,MF_01333_B,,Ribosomal_L5,,50S ribosomal protein L5 [rplE]
P62401	1,,179,,MF_01333_B,,Ribosomal_L5,,50S ribosomal protein L5 [rplE]
P62622	7,,357,,MF_00159,,IspG,,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin) [ispG]
P62707	3,,230,,MF_01039,,PGAM_GpmA,,2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [gpmA]
P62709	3,,230,,MF_01039,,PGAM_GpmA,,2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [gpmA]
P62710	3,,230,,MF_01039,,PGAM_GpmA,,2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [gpmA]
P62768	1,,126,,MF_01519,,UPF0325,,UPF0325 protein YaeH [yaeH]
P62769	1,,126,,MF_01519,,UPF0325,,UPF0325 protein YaeH [yaeH]
P62771	1,,126,,MF_01519,,UPF0325,,UPF0325 protein YaeH [yaeH]
P63020	1,,191,,MF_01637,,Fe_S_biogen_NfuA,,Fe/S biogenesis protein NfuA [nfuA]
P63022	1,,191,,MF_01637,,Fe_S_biogen_NfuA,,Fe/S biogenesis protein NfuA [nfuA]
P63180	2,,243,,MF_01887,,23SrRNA_methyltr_B,,23S rRNA (guanosine-2'-O-)-methyltransferase RlmB [rlmB]
P63224	1,,190,,MF_00067,,GmhA,,Phosphoheptose isomerase [gmhA]
P63284	N/A,,N/A,,N/A,,N/A
P63285	N/A,,N/A,,N/A,,N/A
P63390	N/A,,N/A,,N/A,,N/A
P63610	10,,352,,MF_00300,,Chorismate_synth,,Chorismate synthase [aroC]
P63634	22,,274,,MF_00258,,Glu_racemase,,Glutamate racemase [murI]
P63737	1,,1063,,MF_01210_B,,CPSase_L_chain,,Carbamoyl-phosphate synthase large chain [carB]
P64074	2,,413,,MF_00318,,Enolase,,Enolase [eno]
P64149	1,,269,,MF_00103,,Fapy_DNA_glycosyl,,Formamidopyrimidine-DNA glycosylase [mutM]
P64258	25,,358,,MF_00038,,MraY,,Phospho-N-acetylmuramoyl-pentapeptide-transferase [mraY]
P64451	N/A,,N/A,,N/A,,N/A
P64455	N/A,,N/A,,N/A,,N/A
P64463	N/A,,N/A,,N/A,,N/A
P64469	N/A,,N/A,,N/A,,N/A
P64490	N/A,,N/A,,N/A,,N/A
P64581	N/A,,N/A,,N/A,,N/A
P64584	N/A,,N/A,,N/A,,N/A
P64611	N/A,,N/A,,N/A,,N/A
P65330	3,,153,,MF_00091,,LuxS,,S-ribosylhomocysteine lyase [luxS]
P66025	3,,365,,MF_00094,,Rel_fac_2,,Peptide chain release factor 2 [prfB]
P66042	3,,161,,MF_00362,,Ribosomal_L10,,50S ribosomal protein L10 [rplJ]
P66054	5,,141,,MF_00736,,Ribosomal_L11,,50S ribosomal protein L11 [rplK]
P66072	3,,144,,MF_01341,,Ribosomal_L15,,50S ribosomal protein L15 [rplO]
P66125	9,,92,,MF_00539,,Ribosomal_L27,,50S ribosomal protein L27 [rpmA]
P66166	1,,60,,MF_00374,,Ribosomal_L29,,50S ribosomal protein L29 [rpmC]
P66221	1,,49,,MF_00294,,Ribosomal_L33,,50S ribosomal protein L33 [rpmG]
P66330	3,,102,,MF_00508,,Ribosomal_S10,,30S ribosomal protein S10 [rpsJ]
P66372	1,,136,,MF_00403_B,,Ribosomal_S12,,30S ribosomal protein S12 [rpsL]
P66383	1,,118,,MF_01315,,Ribosomal_S13_S18,,30S ribosomal protein S13 [rpsM]
P66484	1,,89,,MF_00531,,Ribosomal_S19,,30S ribosomal protein S19 [rpsS]
P66503	1,,84,,MF_00500,,Ribosomal_S20,,30S ribosomal protein S20 [rpsT]
P66607	1,,156,,MF_00480_B,,Ribosomal_S7,,30S ribosomal protein S7 [rpsG]
P66608	1,,156,,MF_00480_B,,Ribosomal_S7,,30S ribosomal protein S7 [rpsG]
P66611	1,,156,,MF_00480_B,,Ribosomal_S7,,30S ribosomal protein S7 [rpsG]
P66699	1,,313,,MF_00059,,RNApol_bact_RpoA,,DNA-directed RNA polymerase subunit alpha [rpoA]
P66794	5,,347,,MF_00625,,SelD,,Selenide, water dikinase [selD]
P66808	N/A,,N/A,,N/A,,N/A
P67080	6,,228,,MF_02087,,PLP_homeostasis,,Pyridoxal phosphate homeostasis protein [PROSC]
P67176	3,,238,,MF_00693,,Transcrip_reg_TACO1,,Probable transcriptional regulatory protein YebC [yebC]
P67911	1,,309,,MF_01601,,Heptose_epimerase,,ADP-L-glycero-D-manno-heptose-6-epimerase [hldD]
P68066	1,,127,,MF_00806,,GrcA,,Autonomous glycyl radical cofactor [grcA]
P68067	1,,127,,MF_00806,,GrcA,,Autonomous glycyl radical cofactor [grcA]
P68187	N/A,,N/A,,N/A,,N/A
P68191	N/A,,N/A,,N/A,,N/A
P68206	N/A,,N/A,,N/A,,N/A
P68567	3,,248,,MF_01523,,16SrRNA_methyltr_J,,Ribosomal RNA small subunit methyltransferase J [rsmJ]
P68571	4,,138,,MF_00287,,BdbC,,Probable disulfide formation protein [bdbC]
P68575	N/A,,N/A,,N/A,,N/A
P68579	N/A,,N/A,,N/A,,N/A
P68681	1,,57,,MF_00358,,Ribosomal_S21,,30S ribosomal protein S21 [rpsU]
P68685	1,,57,,MF_00358,,Ribosomal_S21,,30S ribosomal protein S21 [rpsU]
P68918	2,,94,,MF_01336,,Ribosomal_L25,,50S ribosomal protein L25 [rplY]
P69222	1,,72,,MF_00075,,IF_1,,Translation initiation factor IF-1 [infA]
P69224	1,,72,,MF_00075,,IF_1,,Translation initiation factor IF-1 [infA]
P69227	1,,72,,MF_00075,,IF_1,,Translation initiation factor IF-1 [infA]
P69409	1,,214,,MF_00981,,RcsB,,Transcriptional regulatory protein RcsB [rcsB]
P69410	1,,214,,MF_00981,,RcsB,,Transcriptional regulatory protein RcsB [rcsB]
P69428	1,,82,,MF_00236,,TatA_E,,Sec-independent protein translocase protein TatA [tatA]
P69441	1,,214,,MF_00235,,Adenylate_kinase_Adk,,Adenylate kinase [adk]
P69503	11,,180,,MF_00004,,Aden_phosphoribosyltr,,Adenine phosphoribosyltransferase [apt]
P69776	N/A,,N/A,,N/A,,N/A
P69783	N/A,,N/A,,N/A,,N/A
P69786	N/A,,N/A,,N/A,,N/A
P69791	N/A,,N/A,,N/A,,N/A
P69795	N/A,,N/A,,N/A,,N/A
P69797	N/A,,N/A,,N/A,,N/A
P69799	N/A,,N/A,,N/A,,N/A
P69807	N/A,,N/A,,N/A,,N/A
P69811	N/A,,N/A,,N/A,,N/A
P69824	N/A,,N/A,,N/A,,N/A
P69828	N/A,,N/A,,N/A,,N/A
P69829	N/A,,N/A,,N/A,,N/A
P69908	N/A,,N/A,,N/A,,N/A
P69910	N/A,,N/A,,N/A,,N/A
P69911	N/A,,N/A,,N/A,,N/A
P69913	1,,60,,MF_00167,,CsrA,,Translational regulator CsrA [csrA]
P69915	1,,60,,MF_00167,,CsrA,,Translational regulator CsrA [csrA]
P69923	3,,591,,MF_01254,,Fucose_iso,,L-fucose isomerase [fucI]
P69925	N/A,,N/A,,N/A,,N/A
P70949	N/A,,N/A,,N/A,,N/A
P70974	16,,144,,MF_01366,,Ribosomal_L13,,50S ribosomal protein L13 [rplM]
P70976	N/A,,N/A,,N/A,,N/A
P70996	N/A,,N/A,,N/A,,N/A
P71005	N/A,,N/A,,N/A,,N/A
P71012	N/A,,N/A,,N/A,,N/A
P71021	N/A,,N/A,,N/A,,N/A
P71035	1,,101,,MF_01954,,Urease_beta,,Urease subunit beta [ureB]
P71036	N/A,,N/A,,N/A,,N/A
P71051	N/A,,N/A,,N/A,,N/A
P71055	N/A,,N/A,,N/A,,N/A
P71067	N/A,,N/A,,N/A,,N/A
P71073	N/A,,N/A,,N/A,,N/A
P71083	N/A,,N/A,,N/A,,N/A
P71086	N/A,,N/A,,N/A,,N/A
P71088	N/A,,N/A,,N/A,,N/A
P71104	1,,400,,MF_00020,,Acetate_kinase,,Probable acetate kinase
P71447	N/A,,N/A,,N/A,,N/A
P71590	N/A,,N/A,,N/A,,N/A
P71594	N/A,,N/A,,N/A,,N/A
P71599	N/A,,N/A,,N/A,,N/A
P71622	N/A,,N/A,,N/A,,N/A
P71635	N/A,,N/A,,N/A,,N/A
P71640	N/A,,N/A,,N/A,,N/A
P71658	N/A,,N/A,,N/A,,N/A
P71668	N/A,,N/A,,N/A,,N/A
P71699	N/A,,N/A,,N/A,,N/A
P71707	N/A,,N/A,,N/A,,N/A
P71737	N/A,,N/A,,N/A,,N/A
P71738	N/A,,N/A,,N/A,,N/A
P71741	N/A,,N/A,,N/A,,N/A
P71792	N/A,,N/A,,N/A,,N/A
P71890	N/A,,N/A,,N/A,,N/A
P71897	N/A,,N/A,,N/A,,N/A
P71977	N/A,,N/A,,N/A,,N/A
P72062	N/A,,N/A,,N/A,,N/A
P72151	N/A,,N/A,,N/A,,N/A
P72584	10,,358,,MF_01840,,AcsF,,Aerobic magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase [acsF]
P72585	6,,309,,MF_00956,,GDP_fucose_synth,,GDP-L-fucose synthase [fcl]
P72619	N/A,,N/A,,N/A,,N/A
P72641	1,,180,,MF_00235,,Adenylate_kinase_Adk,,Adenylate kinase [adk]
P72648	8,,191,,MF_00328,,Guanylate_kinase,,Guanylate kinase [gmk]
P72655	N/A,,N/A,,N/A,,N/A
P72656	N/A,,N/A,,N/A,,N/A
P72659	2,,704,,MF_01595,,PNPase,,Polyribonucleotide nucleotidyltransferase [pnp]
P72661	N/A,,N/A,,N/A,,N/A
P72673	N/A,,N/A,,N/A,,N/A
P72674	N/A,,N/A,,N/A,,N/A
P72689	5,,997,,MF_00100_B,,IF_2,,Translation initiation factor IF-2 [infB]
P72697	N/A,,N/A,,N/A,,N/A
P72705	1,,188,,MF_00437,,Ycf4,,Photosystem I assembly protein Ycf4 [ycf4]
P72706	N/A,,N/A,,N/A,,N/A
P72721	N/A,,N/A,,N/A,,N/A
P72723	N/A,,N/A,,N/A,,N/A
P72738	N/A,,N/A,,N/A,,N/A
P72746	N/A,,N/A,,N/A,,N/A
P72747	N/A,,N/A,,N/A,,N/A
P72748	N/A,,N/A,,N/A,,N/A
P72756	N/A,,N/A,,N/A,,N/A
P72757	N/A,,N/A,,N/A,,N/A
P72758	N/A,,N/A,,N/A,,N/A
P72760	N/A,,N/A,,N/A,,N/A
P72761	N/A,,N/A,,N/A,,N/A
P72781	N/A,,N/A,,N/A,,N/A
P72788	N/A,,N/A,,N/A,,N/A
P72791	N/A,,N/A,,N/A,,N/A
P72797	3,,321,,MF_00492,,Transaldolase_1,,Transaldolase [tal]
P72805	N/A,,N/A,,N/A,,N/A
P72815	N/A,,N/A,,N/A,,N/A
P72827	N/A,,N/A,,N/A,,N/A
P72835	N/A,,N/A,,N/A,,N/A
P72845	N/A,,N/A,,N/A,,N/A
P72849	N/A,,N/A,,N/A,,N/A
P72854	N/A,,N/A,,N/A,,N/A
P72864	N/A,,N/A,,N/A,,N/A
P72866	3,,89,,MF_01343_B,,Ribosomal_S15,,30S ribosomal protein S15 [rpsO]
P72870	N/A,,N/A,,N/A,,N/A
P72871	9,,417,,MF_00086,,S_AdoMet_synth1,,S-adenosylmethionine synthase [metK]
P72877	N/A,,N/A,,N/A,,N/A
P72878	N/A,,N/A,,N/A,,N/A
P72884	N/A,,N/A,,N/A,,N/A
P72899	N/A,,N/A,,N/A,,N/A
P72932	N/A,,N/A,,N/A,,N/A
P72937	N/A,,N/A,,N/A,,N/A
P72940	3,,173,,MF_00065,,Adenylyl_sulf_kinase,,Adenylyl-sulfate kinase [cysC]
P72954	N/A,,N/A,,N/A,,N/A
P72965	3,,339,,MF_01327,,TMP_synthase_cyanobact,,Thiamine-phosphate synthase [thiE]
P72990	N/A,,N/A,,N/A,,N/A
P72998	N/A,,N/A,,N/A,,N/A
P73008	N/A,,N/A,,N/A,,N/A
P73010	44,,126,,MF_00236,,TatA_E,,Sec-independent protein translocase protein TatA [tatA]
P73020	N/A,,N/A,,N/A,,N/A
P73035	N/A,,N/A,,N/A,,N/A
P73040	N/A,,N/A,,N/A,,N/A
P73053	1,,214,,MF_01408,,ThyX,,Flavin-dependent thymidylate synthase [thyX]
P73067	2,,627,,MF_00315,,DXP_synth,,1-deoxy-D-xylulose-5-phosphate synthase [dxs]
P73091	N/A,,N/A,,N/A,,N/A
P73093	N/A,,N/A,,N/A,,N/A
P73117	N/A,,N/A,,N/A,,N/A
P73120	N/A,,N/A,,N/A,,N/A
P73122	N/A,,N/A,,N/A,,N/A
P73127	6,,447,,MF_01864,,tRNA_metthiotr_MiaB,,tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase [miaB]
P73152	N/A,,N/A,,N/A,,N/A
P73153	N/A,,N/A,,N/A,,N/A
P73154	N/A,,N/A,,N/A,,N/A
P73173	N/A,,N/A,,N/A,,N/A
P73193	N/A,,N/A,,N/A,,N/A
P73202	N/A,,N/A,,N/A,,N/A
P73203	N/A,,N/A,,N/A,,N/A
P73204	N/A,,N/A,,N/A,,N/A
P73207	N/A,,N/A,,N/A,,N/A
P73210	N/A,,N/A,,N/A,,N/A
P73218	N/A,,N/A,,N/A,,N/A
P73240	N/A,,N/A,,N/A,,N/A
P73243	N/A,,N/A,,N/A,,N/A
P73253	N/A,,N/A,,N/A,,N/A
P73257	4,,456,,MF_00006,,Arg_succ_lyase,,Argininosuccinate lyase [argH]
P73273	N/A,,N/A,,N/A,,N/A
P73274	4,,868,,MF_00049_B,,Leu_tRNA_synth,,Leucine--tRNA ligase [leuS]
P73282	N/A,,N/A,,N/A,,N/A
P73290	1,,444,,MF_00011,,Adenylosucc_synth,,Adenylosuccinate synthetase, organellar chromatophore [PURA]
P73292	2,,69,,MF_00501,,Ribosomal_L31_1,,50S ribosomal protein L31 [rpmE]
P73294	16,,147,,MF_01366,,Ribosomal_L13,,50S ribosomal protein L13 [rplM]
P73299	1,,119,,MF_01315,,Ribosomal_S13_S18,,30S ribosomal protein S13 [rpsM]
P73304	1,,170,,MF_01307_B,,Ribosomal_S5,,30S ribosomal protein S5 [rpsE]
P73305	4,,120,,MF_01337_B,,Ribosomal_L18,,50S ribosomal protein L18 [rplR]
P73307	2,,133,,MF_01302_B,,Ribosomal_S8,,30S ribosomal protein S8 [rpsH]
P73308	2,,180,,MF_01333_B,,Ribosomal_L5,,50S ribosomal protein L5 [rplE]
P73314	1,,208,,MF_01309_B,,Ribosomal_S3,,30S ribosomal protein S3 [rpsC]
P73315	8,,117,,MF_01331_B,,Ribosomal_L22,,50S ribosomal protein L22 [rplV]
P73317	1,,275,,MF_01320_B,,Ribosomal_L2,,50S ribosomal protein L2 [rplB]
P73318	11,,100,,MF_01369_B,,Ribosomal_L23,,50S ribosomal protein L23 [rplW]
P73321	N/A,,N/A,,N/A,,N/A
P73334	1,,1246,,MF_01324,,RNApol_bact_RpoC2,,DNA-directed RNA polymerase subunit beta' [rpoC2]
P73370	N/A,,N/A,,N/A,,N/A
P73374	N/A,,N/A,,N/A,,N/A
P73375	N/A,,N/A,,N/A,,N/A
P73376	1,,160,,MF_01197,,SepF,,Cell division protein SepF [sepF]
P73380	N/A,,N/A,,N/A,,N/A
P73393	N/A,,N/A,,N/A,,N/A
P73404	N/A,,N/A,,N/A,,N/A
P73409	N/A,,N/A,,N/A,,N/A
P73411	21,,508,,MF_00966,,G6PD,,Glucose-6-phosphate 1-dehydrogenase [zwf]
P73412	4,,968,,MF_00205,,UvrA,,UvrABC system protein A [uvrA]
P73418	N/A,,N/A,,N/A,,N/A
P73419	N/A,,N/A,,N/A,,N/A
P73451	N/A,,N/A,,N/A,,N/A
P73452	N/A,,N/A,,N/A,,N/A
P73455	N/A,,N/A,,N/A,,N/A
P73458	N/A,,N/A,,N/A,,N/A
P73469	N/A,,N/A,,N/A,,N/A
P73487	N/A,,N/A,,N/A,,N/A
P73488	N/A,,N/A,,N/A,,N/A
P73501	N/A,,N/A,,N/A,,N/A
P73505	5,,985,,MF_02002,,Ile_tRNA_synth_type1,,Isoleucine--tRNA ligase [ileS]
P73530	N/A,,N/A,,N/A,,N/A
P73534	N/A,,N/A,,N/A,,N/A
P73545	N/A,,N/A,,N/A,,N/A
P73552	N/A,,N/A,,N/A,,N/A
P73553	12,,136,,MF_00115,,MscL,,Large-conductance mechanosensitive channel [mscL]
P73563	N/A,,N/A,,N/A,,N/A
P73580	14,,620,,MF_00203,,UvrC,,UvrABC system protein C [uvrC]
P73581	N/A,,N/A,,N/A,,N/A
P73583	N/A,,N/A,,N/A,,N/A
P73589	N/A,,N/A,,N/A,,N/A
P73592	N/A,,N/A,,N/A,,N/A
P73596	N/A,,N/A,,N/A,,N/A
P73597	N/A,,N/A,,N/A,,N/A
P73607	N/A,,N/A,,N/A,,N/A
P73609	N/A,,N/A,,N/A,,N/A
P73617	11,,345,,MF_00211,,TrpD,,Anthranilate phosphoribosyltransferase [trpD]
P73632	1,,345,,MF_00047,,Dala_Dala_lig,,D-alanine--D-alanine ligase [ddl]
P73648	28,,477,,MF_01554_B,,GlmM,,Phosphoglucosamine mutase [glmM]
P73652	N/A,,N/A,,N/A,,N/A
P73654	N/A,,N/A,,N/A,,N/A
P73701	N/A,,N/A,,N/A,,N/A
P73704	N/A,,N/A,,N/A,,N/A
P73705	N/A,,N/A,,N/A,,N/A
P73707	N/A,,N/A,,N/A,,N/A
P73721	N/A,,N/A,,N/A,,N/A
P73722	N/A,,N/A,,N/A,,N/A
P73728	N/A,,N/A,,N/A,,N/A
P73736	N/A,,N/A,,N/A,,N/A
P73746	N/A,,N/A,,N/A,,N/A
P73755	3,,349,,MF_00144,,tRNA_thiouridyl_MnmA,,tRNA-specific 2-thiouridylase MnmA [mnmA]
P73765	N/A,,N/A,,N/A,,N/A
P73801	N/A,,N/A,,N/A,,N/A
P73810	2,,746,,MF_00952,,Topoisom_1_prok,,DNA topoisomerase 1 [topA]
P73821	N/A,,N/A,,N/A,,N/A
P73823	N/A,,N/A,,N/A,,N/A
P73824	N/A,,N/A,,N/A,,N/A
P73826	N/A,,N/A,,N/A,,N/A
P73833	N/A,,N/A,,N/A,,N/A
P73834	N/A,,N/A,,N/A,,N/A
P73849	5,,241,,MF_00490,,ComB,,2-phosphosulfolactate phosphatase [comB]
P73866	1,,557,,MF_00275,,KdpA,,Potassium-transporting ATPase potassium-binding subunit [kdpA]
P73867	23,,690,,MF_00285,,KdpB,,Potassium-transporting ATPase ATP-binding subunit [kdpB]
P73876	N/A,,N/A,,N/A,,N/A
P73886	1,,363,,MF_00944,,YchF_OLA1_ATPase,,Obg-like ATPase 1 [OLA1]
P73922	N/A,,N/A,,N/A,,N/A
P73926	N/A,,N/A,,N/A,,N/A
P73930	226,,503,,MF_00920,,FtsY,,Signal recognition particle receptor FtsY [ftsY]
P73933	10,,209,,MF_01043,,PlsY,,Glycerol-3-phosphate acyltransferase [plsY]
P73953	N/A,,N/A,,N/A,,N/A
P73954	N/A,,N/A,,N/A,,N/A
