Protein	Entry..Description
P73821	PS51671,,ACT domain profile;;PS00671,,D-isomer specific 2-hydroxyacid dehydrogenases signature 3;;PS00670,,D-isomer specific 2-hydroxyacid dehydrogenases signature 2;;PS00065,,D-isomer specific 2-hydroxyacid dehydrogenases NAD-binding signature
P73823	
P73824	PS51355,,Glutathione peroxidase profile;;PS00460,,Glutathione peroxidases active site
P73826	PS01108,,Ribosomal protein L24 signature;;PS00061,,Short-chain dehydrogenases/reductases family signature
P73833	PS50975,,ATP-grasp fold profile
P73834	
P73849	
P73866	
P73867	PS00154,,E1-E2 ATPases phosphorylation site
P73876	
P73886	
P73922	
P73926	
P73930	PS00300,,SRP54-type proteins GTP-binding domain signature
P73933	
P73953	
P73954	
P73960	PS00470,,Isocitrate and isopropylmalate dehydrogenases signature
P73973	
P73982	
P73985	
P73998	
P74002	
P74007	PS51880,,TGS domain profile;;PS51831,,HD domain profile;;PS51671,,ACT domain profile
P74020	
P74027	
P74044	
P74057	
P74074	
P74078	PS51846,,CNNM transmembrane domain profile;;PS51371,,CBS domain profile
P74102	
P74106	
P74122	
P74126	PS50110,,Response regulatory domain profile
P74135	
P74142	PS50126,,S1 domain profile
P74153	
P74157	
P74175	
P74176	
P74182	
P74184	
P74186	
P74189	
P74195	
P74210	
P74214	PS00300,,SRP54-type proteins GTP-binding domain signature
P74216	
P74226	PS00361,,Ribosomal protein S10 signature
P74227	PS51722,,Translational (tr)-type guanine nucleotide-binding (G) domain profile;;PS00301,,Translational (tr)-type guanine nucleotide-binding (G) domain signature
P74229	PS00052,,Ribosomal protein S7 signature
P74230	PS00055,,Ribosomal protein S12 signature
P74233	
P74236	
P74241	PS00018,,EF-hand calcium-binding domain
P74242	
P74251	
P74275	
P74281	
P74282	
P74296	PS51483,,B5 domain profile;;PS51447,,Ferredoxin-fold anticodon binding (FDX-ACB) domain profile;;PS50886,,tRNA-binding domain profile
P74297	PS50011,,Protein kinase domain profile;;PS00108,,Serine/Threonine protein kinases active-site signature;;PS00107,,Protein kinases ATP-binding region signature
P74299	PS00781,,Phosphoenolpyruvate carboxylase active site 1;;PS00393,,Phosphoenolpyruvate carboxylase active site 2
P74305	
P74308	PS00798,,Aldo/keto reductase family signature 1;;PS00063,,Aldo/keto reductase family putative active site signature;;PS00062,,Aldo/keto reductase family signature 2
P74309	PS00158,,Fructose-bisphosphate aldolase class-I active site
P74314	
P74326	
P74334	
P74335	
P74339	
P74350	
P74352	
P74360	
P74361	PS00871,,Chaperonins clpA/B signature 2;;PS00870,,Chaperonins clpA/B signature 1
P74390	
P74409	PS51846,,CNNM transmembrane domain profile;;PS51371,,CBS domain profile
P74413	
P74419	
P74421	PS00111,,Phosphoglycerate kinase signature
P74426	
P74427	
P74433	
P74444	
P74447	
P74448	
P74450	
P74451	
P74457	
P74461	
P74463	
P74466	
P74474	
P74485	
P74486	
P74494	PS00469,,Nucleoside diphosphate kinases active site
P74499	
P74503	PS51146,,KaiC domain profile
P74507	
P74510	
P74512	
P74518	
P74534	
P74537	
P74541	
P74551	
P74566	
P74572	PS00521,,Delta 1-pyrroline-5-carboxylate reductase signature
P74582	PS01244,,Aconitase family signature 2;;PS00450,,Aconitase family signature 1
P74618	
P74640	
P74643	
P74658	
P74662	
P74667	PS01326,,Diaminopimelate epimerase signature
P74682	
P74689	PS00887,,Dihydroxy-acid and 6-phosphogluconate dehydratases signature 2;;PS00886,,Dihydroxy-acid and 6-phosphogluconate dehydratases signature 1
P74690	PS60003,,Phosphoketolase signature 2;;PS60002,,Phosphoketolase signature 1;;PS00187,,Thiamine pyrophosphate enzymes signature
P74694	
P74698	
P74702	
P74713	
P74720	
P74729	
P74737	PS50163,,RecA family profile 2;;PS50162,,RecA family profile 1;;PS00321,,recA signature
P74739	
P74745	PS50011,,Protein kinase domain profile;;PS00108,,Serine/Threonine protein kinases active-site signature;;PS00107,,Protein kinases ATP-binding region signature
P74747	
P74749	
P74754	
P74769	
P74772	
P74776	
P74781	
P75033	
P75039	PS51104,,PTS_EIIC type-2 domain profile;;PS51099,,PTS_EIIB type-2 domain profile;;PS51094,,PTS_EIIA type-2 domain profile
P75049	PS01014,,Transcription termination factor nusG signature
P75050	PS00710,,Phosphoglucomutase and phosphomannomutase phosphoserine signature
P75061	PS51350,,PTS HPR domain profile;;PS00589,,PTS HPR domain serine phosphorylation site signature;;PS00369,,PTS HPR domain histidine phosphorylation site signature
P75080	
P75089	PS00806,,Fructose-bisphosphate aldolase class-II signature 2;;PS00602,,Fructose-bisphosphate aldolase class-II signature 1
P75090	
P75093	PS51194,,Superfamilies 1 and 2 helicase C-terminal domain profile;;PS51192,,Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile;;PS50966,,Zinc finger SWIM-type profile
P75120	PS00674,,AAA-protein family signature
P75136	
P75159	
P75161	
P75170	
P75172	PS51195,,DEAD-box RNA helicase Q motif profile;;PS51194,,Superfamilies 1 and 2 helicase C-terminal domain profile;;PS51192,,Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile
P75187	
P75205	PS00681,,Chaperonins cpn10 signature
P75206	PS00631,,Cytosol aminopeptidase signature
P75207	PS50893,,ATP-binding cassette, ABC transporter-type domain profile;;PS00211,,ABC transporters family signature
P75223	PS00142,,Neutral zinc metallopeptidases, zinc-binding region signature
P75231	PS51480,,DhaL domain profile
P75245	PS01076,,Acetate and butyrate kinases family signature 2;;PS01075,,Acetate and butyrate kinases family signature 1;;PS00430,,TonB-dependent receptor proteins signature 1
P75250	PS00387,,Inorganic pyrophosphatase signature
P75258	PS00178,,Aminoacyl-transfer RNA synthetases class-I signature
P75264	PS50893,,ATP-binding cassette, ABC transporter-type domain profile;;PS00211,,ABC transporters family signature
P75271	
P75277	
P75293	
P75301	
P75309	PS51712,,EngA-type guanine nucleotide-binding (G) domain profile
P75310	
P75313	PS00491,,Aminopeptidase P and proline dipeptidase signature
P75344	PS01036,,Heat shock hsp70 proteins family signature 3;;PS00329,,Heat shock hsp70 proteins family signature 2;;PS00297,,Heat shock hsp70 proteins family signature 1
P75353	
P75354	PS50076,,dnaJ domain profile;;PS00636,,Nt-dnaJ domain signature
P75358	PS00071,,Glyceraldehyde 3-phosphate dehydrogenase active site
P75359	
P75376	PS51257,,Prokaryotic membrane lipoprotein lipid attachment site profile
P75386	PS51831,,HD domain profile
P75390	
P75393	PS00076,,Pyridine nucleotide-disulphide oxidoreductases class-I active site
P75394	PS51733,,Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL) catalytic domain profile
P75426	PS50880,,Toprim domain profile
P75465	
P75469	
P75470	
P75482	
P75493	PS51257,,Prokaryotic membrane lipoprotein lipid attachment site profile
P75497	PS01292,,Uncharacterized protein family UPF0036 signature;;PS00018,,EF-hand calcium-binding domain
P75512	PS51352,,Thioredoxin domain profile;;PS00194,,Thioredoxin family active site
P75518	
P75525	PS51746,,PPM-type phosphatase domain profile
P75526	PS50052,,Guanylate kinase-like domain profile;;PS00856,,Guanylate kinase-like signature
P75533	PS01234,,Glutamyl-tRNA(Gln) amidotransferase subunit B signature
P75542	PS51257,,Prokaryotic membrane lipoprotein lipid attachment site profile;;PS50935,,Single-strand binding (SSB) domain profile
P75543	PS01048,,Ribosomal protein S6 signature
P75560	PS00963,,Ribosomal protein S2 signature 2;;PS00962,,Ribosomal protein S2 signature 1
P75569	PS51103,,PTS_EIIC type-1 domain profile;;PS51098,,PTS_EIIB type-1 domain profile;;PS51093,,PTS_EIIA type-1 domain profile;;PS00371,,PTS EIIA domains phosphorylation site signature 1
P75575	PS00464,,Ribosomal protein L22 signature
P75591	PS50126,,S1 domain profile;;PS50084,,Type-1 KH domain profile
P75691	PS00059,,Zinc-containing alcohol dehydrogenases signature
P75694	
P75736	
P75809	PS01229,,Hypothetical cof family signature 2;;PS01228,,Hypothetical cof family signature 1
P75818	PS51257,,Prokaryotic membrane lipoprotein lipid attachment site profile
P75821	
P75949	PS00775,,Glycosyl hydrolases family 3 active site
P76001	
P76014	PS51480,,DhaL domain profile
P76015	PS51481,,DhaK domain profile
P76072	
P76143	
P76182	
P76194	
P76268	PS51078,,IclR effector binding domain profile;;PS51077,,IclR-type HTH domain profile
P76290	
P76387	
P76396	PS50234,,VWFA domain profile
P76398	
P76402	
P76536	
P76541	
P76552	
P76558	PS00331,,Malic enzymes signature
P76576	
P77172	PS50883,,EAL domain profile
P77173	
P77285	
P77318	PS00523,,Sulfatases signature 1;;PS00149,,Sulfatases signature 2
P77365	PS51257,,Prokaryotic membrane lipoprotein lipid attachment site profile
P77376	
P77395	PS51352,,Thioredoxin domain profile
P77402	PS01124,,Bacterial regulatory proteins, araC family DNA-binding domain profile;;PS00041,,Bacterial regulatory proteins, araC family signature
P77504	PS51257,,Prokaryotic membrane lipoprotein lipid attachment site profile
P77510	PS50112,,PAS repeat profile;;PS50109,,Histidine kinase domain profile
P77522	
P77552	
P77554	PS51318,,Twin arginine translocation (Tat) signal profile
P77598	
P77625	
P77627	
P77650	
P77674	PS00687,,Aldehyde dehydrogenases glutamic acid active site;;PS00070,,Aldehyde dehydrogenases cysteine active site
P77756	
P77804	
P77961	PS00181,,Glutamine synthetase putative ATP-binding region signature;;PS00180,,Glutamine synthetase signature 1
P77962	PS00096,,Serine hydroxymethyltransferase pyridoxal-phosphate attachment site
P77965	PS01166,,RNA polymerases beta chain signature
P77968	PS00088,,Manganese and iron superoxide dismutases signature
P77970	
P77972	PS00164,,Enolase signature
P77973	PS00565,,Argininosuccinate synthase signature 2;;PS00564,,Argininosuccinate synthase signature 1
P78010	PS51440,,Triosephosphate isomerase (TIM) family profile;;PS00171,,Triosephosphate isomerase active site
P78012	PS00296,,Chaperonins cpn60 signature
P78018	PS00111,,Phosphoglycerate kinase signature
P78022	PS00716,,Sigma-70 factors family signature 2;;PS00715,,Sigma-70 factors family signature 1
P78027	PS00089,,Ribonucleotide reductase large subunit signature
P78028	PS51330,,Dihydrofolate reductase (DHFR) domain profile;;PS00075,,Dihydrofolate reductase (DHFR) domain signature
P78032	PS50880,,Toprim domain profile;;PS00396,,Prokaryotic DNA topoisomerase I active site
P78285	
P80046	PS00470,,Isocitrate and isopropylmalate dehydrogenases signature
P80239	PS51352,,Thioredoxin domain profile
P80240	PS00830,,Prokaryotic transcription elongation factors signature 2;;PS00829,,Prokaryotic transcription elongation factors signature 1
P80244	PS00382,,Endopeptidase Clp histidine active site;;PS00381,,Endopeptidase Clp serine active site
P80505	PS00071,,Glyceraldehyde 3-phosphate dehydrogenase active site
P80507	PS00387,,Inorganic pyrophosphatase signature
P80643	PS50075,,Carrier protein (CP) domain profile;;PS00012,,Phosphopantetheine attachment site
P80698	PS50059,,FKBP-type peptidyl-prolyl cis-trans isomerase domain profile
P80700	PS01127,,Elongation factor Ts signature 2;;PS01126,,Elongation factor Ts signature 1
P80858	PS01244,,Aconitase family signature 2;;PS00450,,Aconitase family signature 1
P80859	PS00461,,6-phosphogluconate dehydrogenase signature
P80860	PS51463,,Glucose-6-phosphate isomerase family profile;;PS00765,,Phosphoglucose isomerase signature 1;;PS00174,,Phosphoglucose isomerase signature 2
P80865	PS01216,,ATP-citrate lyase / succinyl-CoA ligases family signature 1;;PS00399,,ATP-citrate lyase / succinyl-CoA ligases family active site
P80866	PS50893,,ATP-binding cassette, ABC transporter-type domain profile;;PS00211,,ABC transporters family signature
P80868	PS51722,,Translational (tr)-type guanine nucleotide-binding (G) domain profile;;PS00301,,Translational (tr)-type guanine nucleotide-binding (G) domain signature
P80870	PS50126,,S1 domain profile
P80871	
P80875	
P80877	
P80879	PS00819,,Dps protein family signature 2;;PS00818,,Dps protein family signature 1
P80885	PS00110,,Pyruvate kinase active site signature
P80886	PS50975,,ATP-grasp fold profile;;PS01217,,ATP-citrate lyase / succinyl-CoA ligases family signature 3
P80918	PS50075,,Carrier protein (CP) domain profile;;PS00012,,Phosphopantetheine attachment site
P80920	PS50075,,Carrier protein (CP) domain profile;;PS00012,,Phosphopantetheine attachment site
P80921	PS50075,,Carrier protein (CP) domain profile;;PS00012,,Phosphopantetheine attachment site
P80922	PS50075,,Carrier protein (CP) domain profile;;PS00012,,Phosphopantetheine attachment site
P80923	PS50075,,Carrier protein (CP) domain profile;;PS00012,,Phosphopantetheine attachment site
P81100	
P81101	
P81102	
P81181	PS51463,,Glucose-6-phosphate isomerase family profile;;PS00765,,Phosphoglucose isomerase signature 1;;PS00174,,Phosphoglucose isomerase signature 2
P94335	
P94360	PS50893,,ATP-binding cassette, ABC transporter-type domain profile;;PS00211,,ABC transporters family signature
P94364	PS00268,,Cecropin family signature
P94400	
P94409	
P94417	PS51671,,ACT domain profile;;PS00324,,Aspartokinase signature
P94425	PS51725,,ABM domain profile
P94459	PS50075,,Carrier protein (CP) domain profile;;PS00455,,Putative AMP-binding domain signature;;PS00012,,Phosphopantetheine attachment site
P94521	
P94534	PS51379,,4Fe-4S ferredoxin-type iron-sulfur binding domain profile;;PS00198,,4Fe-4S ferredoxin-type iron-sulfur binding region signature
P94538	
P94547	PS00455,,Putative AMP-binding domain signature
P94549	PS00166,,Enoyl-CoA hydratase/isomerase signature
P94565	PS50991,,Pyruvate carboxyltransferase domain;;PS00816,,Alpha-isopropylmalate and homocitrate synthases signature 2;;PS00815,,Alpha-isopropylmalate and homocitrate synthases signature 1
P94592	PS01229,,Hypothetical cof family signature 2;;PS01228,,Hypothetical cof family signature 1
P94996	
P95017	
P95029	
P95032	
P95034	
P95087	
P95090	
P95125	
P95137	
P95144	
P95172	
P95185	
P95186	
P95189	PS00630,,Inositol monophosphatase family signature 2;;PS00629,,Inositol monophosphatase family signature 1
P95197	
P95217	
P95225	
P95257	
P95290	
P95690	PS00116,,DNA polymerase family B signature
P95691	PS51722,,Translational (tr)-type guanine nucleotide-binding (G) domain profile;;PS01176,,Initiation factor 2 signature
P95867	
P95871	
P95879	
P95907	PS00933,,FGGY family of carbohydrate kinases signature 1;;PS00445,,FGGY family of carbohydrate kinases signature 2
P95931	
P95949	PS51194,,Superfamilies 1 and 2 helicase C-terminal domain profile;;PS51192,,Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile
P95957	PS00105,,Aminotransferases class-I pyridoxal-phosphate attachment site
P95968	PS00178,,Aminoacyl-transfer RNA synthetases class-I signature
P95970	PS50862,,Aminoacyl-transfer RNA synthetases class-II family profile
P95979	PS00116,,DNA polymerase family B signature
P95980	PS50880,,Toprim domain profile
P95991	PS00783,,Ribosomal protein L13 signature;;PS00063,,Aldo/keto reductase family putative active site signature
P96041	PS50860,,Alanyl-transfer RNA synthetases family profile
P96076	PS00156,,Orotidine 5'-phosphate decarboxylase active site
P96217	
P96218	PS51278,,Glutamine amidotransferase type 2 domain profile
P96258	
P96267	
P96270	
P96271	
P96284	PS00606,,Beta-ketoacyl synthases active site
P96285	PS50075,,Carrier protein (CP) domain profile;;PS00678,,Trp-Asp (WD) repeats signature;;PS00012,,Phosphopantetheine attachment site
P96288	
P96291	
P96353	
P96356	
P96374	
P96396	
P96399	
P96404	
P96409	
P96502	
P96585	PS50887,,GGDEF domain profile
P96596	
P96611	PS51352,,Thioredoxin domain profile;;PS00194,,Thioredoxin family active site
P96613	
P96615	
P96619	PS51257,,Prokaryotic membrane lipoprotein lipid attachment site profile
P96625	PS50995,,MarR-type HTH domain profile;;PS01117,,MarR-type HTH domain signature
P96679	PS51186,,Gcn5-related N-acetyltransferase (GNAT) domain profile
P96683	PS50987,,ArsR-type HTH domain profile;;PS00846,,Bacterial regulatory proteins, arsR family signature
P96686	PS50110,,Response regulatory domain profile;;PS50043,,LuxR-type HTH domain profile;;PS00622,,LuxR-type HTH domain signature
P96692	
P96701	PS50977,,TetR-type HTH domain profile;;PS01081,,TetR-type HTH domain signature;;PS00572,,Glycosyl hydrolases family 1 active site
P96716	
P96718	
P96722	PS51756,,LXG domain profile
P96805	
P96812	
P96824	
P96868	
P96872	
P96874	
P96876	
P96877	
P96878	
P96890	
P96923	
P97152	
P99175	PS50932,,LacI-type HTH domain profile;;PS00356,,LacI-type HTH domain signature
P9WF13	
P9WF14	
P9WF15	
P9WF19	
P9WF23	
P9WF27	PS51664,,YcaO domain profile
P9WF29	
P9WF45	
P9WFB1	
P9WFC9	
P9WFD3	
P9WFD7	
P9WFD9	
P9WFG2	
P9WFG3	
P9WFG9	
P9WFH5	
P9WFH7	
P9WFI4	
P9WFI5	
P9WFK0	
P9WFK9	
P9WFL3	
P9WFM7	PS50084,,Type-1 KH domain profile
P9WFN1	
P9WFQ0	
P9WFQ1	
P9WFR1	
P9WFS2	
P9WFS3	
P9WFW9	
P9WFX5	
P9WFX7	PS00614,,Indole-3-glycerol phosphate synthase signature
P9WFZ1	PS51620,,tRNA (adenine(57)-N(1)/adenine(58)-N(1) or adenine(58)-N(1)) (EC 2.1.1.219 or EC 2.1.1.220) family profile
P9WFZ7	PS50928,,ABC transporter integral membrane type-1 domain profile
P9WG05	PS50928,,ABC transporter integral membrane type-1 domain profile
P9WG17	
P9WG33	PS01054,,Transaldolase signature 1;;PS00958,,Transaldolase active site
P9WG38	PS00187,,Thiamine pyrophosphate enzymes signature
P9WG39	PS00187,,Thiamine pyrophosphate enzymes signature
P9WG45	PS50880,,Toprim domain profile;;PS00177,,DNA topoisomerase II signature
P9WG47	PS00018,,EF-hand calcium-binding domain
P9WG48	PS50880,,Toprim domain profile;;PS00396,,Prokaryotic DNA topoisomerase I active site
P9WG49	PS50880,,Toprim domain profile;;PS00396,,Prokaryotic DNA topoisomerase I active site
P9WG74	
P9WG75	
P9WG86	PS50850,,Major facilitator superfamily (MFS) profile
P9WG87	PS50850,,Major facilitator superfamily (MFS) profile
P9WGA0	
P9WGA1	
P9WGC3	
P9WGC7	PS01216,,ATP-citrate lyase / succinyl-CoA ligases family signature 1;;PS00399,,ATP-citrate lyase / succinyl-CoA ligases family active site
P9WGD5	PS50935,,Single-strand binding (SSB) domain profile
P9WGD8	PS00300,,SRP54-type proteins GTP-binding domain signature
P9WGD9	PS00300,,SRP54-type proteins GTP-binding domain signature
P9WGE1	PS50801,,STAS domain profile
P9WGE7	PS00088,,Manganese and iron superoxide dismutases signature
P9WGF2	
P9WGF3	
P9WGF9	
P9WGG5	PS01063,,Sigma-70 factors ECF subfamily signature
P9WGH8	PS01063,,Sigma-70 factors ECF subfamily signature
P9WGH9	PS01063,,Sigma-70 factors ECF subfamily signature
P9WGI1	PS00867,,Carbamoyl-phosphate synthase subdomain signature 2;;PS00716,,Sigma-70 factors family signature 2;;PS00715,,Sigma-70 factors family signature 1
P9WGJ3	
P9WGJ4	
P9WGJ5	
P9WGK1	PS50109,,Histidine kinase domain profile
P9WGK3	PS50109,,Histidine kinase domain profile
P9WGK4	PS50109,,Histidine kinase domain profile
P9WGK5	PS50109,,Histidine kinase domain profile
P9WGK8	PS50885,,HAMP domain profile;;PS50109,,Histidine kinase domain profile
P9WGK9	PS50885,,HAMP domain profile;;PS50109,,Histidine kinase domain profile
P9WGL3	PS50109,,Histidine kinase domain profile
P9WGL5	PS50109,,Histidine kinase domain profile
P9WGL7	PS50110,,Response regulatory domain profile
P9WGL9	PS51755,,OmpR/PhoB-type DNA-binding domain profile;;PS50110,,Response regulatory domain profile
P9WGM0	PS51755,,OmpR/PhoB-type DNA-binding domain profile;;PS50110,,Response regulatory domain profile
P9WGM1	PS51755,,OmpR/PhoB-type DNA-binding domain profile;;PS50110,,Response regulatory domain profile
P9WGM3	PS50921,,ANTAR domain profile;;PS50110,,Response regulatory domain profile
P9WGM5	PS50110,,Response regulatory domain profile;;PS50043,,LuxR-type HTH domain profile;;PS00622,,LuxR-type HTH domain signature
P9WGM7	PS51755,,OmpR/PhoB-type DNA-binding domain profile;;PS50110,,Response regulatory domain profile
P9WGM9	PS51755,,OmpR/PhoB-type DNA-binding domain profile;;PS50110,,Response regulatory domain profile;;PS00217,,Sugar transport proteins signature 2
P9WGN1	PS51755,,OmpR/PhoB-type DNA-binding domain profile;;PS50110,,Response regulatory domain profile
P9WGN7	PS01067,,Protein secE/sec61-gamma signature
P9WGN8	
P9WGN9	
P9WGP5	PS51196,,SecA family profile;;PS01312,,SecA family signature
P9WGQ1	PS00061,,Short-chain dehydrogenases/reductases family signature
P9WGR0	
P9WGR1	
P9WGR9	PS00061,,Short-chain dehydrogenases/reductases family signature
P9WGS1	PS00061,,Short-chain dehydrogenases/reductases family signature
P9WGT2	PS00061,,Short-chain dehydrogenases/reductases family signature
P9WGT3	PS00061,,Short-chain dehydrogenases/reductases family signature
P9WGT9	PS51257,,Prokaryotic membrane lipoprotein lipid attachment site profile
P9WGV2	PS00739,,S-adenosyl-L-homocysteine hydrolase signature 2;;PS00738,,S-adenosyl-L-homocysteine hydrolase signature 1
P9WGV3	PS00739,,S-adenosyl-L-homocysteine hydrolase signature 2;;PS00738,,S-adenosyl-L-homocysteine hydrolase signature 1
P9WGY8	PS01166,,RNA polymerases beta chain signature
P9WGY9	PS01166,,RNA polymerases beta chain signature
P9WGZ1	
P9WH05	PS51195,,DEAD-box RNA helicase Q motif profile;;PS51194,,Superfamilies 1 and 2 helicase C-terminal domain profile;;PS51192,,Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile;;PS00039,,DEAD-box subfamily ATP-dependent helicases signature
P9WH07	PS51689,,rRNA adenine N(6)-methyltransferase family profile;;PS01131,,Ribosomal RNA adenine dimethylases signature
P9WH34	PS50889,,S4 RNA-binding domain profile;;PS00632,,Ribosomal protein S4 signature
P9WH35	PS50889,,S4 RNA-binding domain profile;;PS00632,,Ribosomal protein S4 signature
P9WH37	PS50823,,Type-2 KH domain profile;;PS00548,,Ribosomal protein S3 signature
P9WH41	
P9WH42	PS50126,,S1 domain profile
P9WH43	PS50126,,S1 domain profile
P9WH45	PS00323,,Ribosomal protein S19 signature
P9WH48	PS00057,,Ribosomal protein S18 signature
P9WH49	PS00057,,Ribosomal protein S18 signature
P9WH51	PS00056,,Ribosomal protein S17 signature
P9WH53	PS00732,,Ribosomal protein S16 signature
P9WH82	PS00358,,Ribosomal protein L5 signature
P9WH83	PS00358,,Ribosomal protein L5 signature
P9WH87	PS00474,,Ribosomal protein L3 signature
P9WHA1	PS01143,,Ribosomal protein L31 signature
P9WHA7	PS00579,,Ribosomal protein L29 signature
P9WHB3	PS00831,,Ribosomal protein L27 signature
P9WHB7	PS01108,,Ribosomal protein L24 signature
P9WHC1	PS00464,,Ribosomal protein L22 signature
P9WHC7	PS01199,,Ribosomal protein L1 signature
P9WHD1	
P9WHD2	PS01167,,Ribosomal protein L17 signature
P9WHD3	PS01167,,Ribosomal protein L17 signature
P9WHE0	PS00783,,Ribosomal protein L13 signature
P9WHE1	PS00783,,Ribosomal protein L13 signature
P9WHF3	PS51856,,Rho RNA-binding domain profile
P9WHG1	PS00745,,Prokaryotic-type class I peptide chain release factors signature
P9WHG9	PS51880,,TGS domain profile;;PS51831,,HD domain profile;;PS51671,,ACT domain profile
P9WHI9	PS00618,,RecF protein signature 2;;PS00617,,RecF protein signature 1
P9WHJ5	
P9WHK5	
P9WHK7	PS51273,,Glutamine amidotransferase type 1 domain profile
P9WHM1	
P9WHN5	
P9WHP5	
P9WHQ1	PS50889,,S4 RNA-binding domain profile;;PS01149,,Rsu family of pseudouridine synthase signature
P9WHR1	PS51371,,CBS domain profile;;PS00142,,Neutral zinc metallopeptidases, zinc-binding region signature
P9WHS1	PS50249,,MPN domain profile
P9WHT2	PS00631,,Cytosol aminopeptidase signature
P9WHT3	PS00631,,Cytosol aminopeptidase signature
P9WHU1	PS51475,,Proteasome alpha-type subunit profile;;PS00388,,Proteasome alpha-type subunits signature
P9WHU7	PS00521,,Delta 1-pyrroline-5-carboxylate reductase signature
P9WHV0	PS01223,,Gamma-glutamyl phosphate reductase signature
P9WHV1	PS01223,,Gamma-glutamyl phosphate reductase signature
P9WHV7	
P9WHW3	PS50072,,Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain profile;;PS00170,,Cyclophilin-type peptidyl-prolyl cis-trans isomerase signature
P9WHW5	PS51746,,PPM-type phosphatase domain profile
P9WI27	
P9WI41	
P9WI47	
P9WI48	
P9WI49	
P9WI55	PS00387,,Inorganic pyrophosphatase signature
P9WI62	PS50011,,Protein kinase domain profile;;PS00108,,Serine/Threonine protein kinases active-site signature;;PS00107,,Protein kinases ATP-binding region signature
P9WI63	PS50011,,Protein kinase domain profile;;PS00108,,Serine/Threonine protein kinases active-site signature;;PS00107,,Protein kinases ATP-binding region signature
P9WI64	PS50011,,Protein kinase domain profile;;PS00108,,Serine/Threonine protein kinases active-site signature;;PS00107,,Protein kinases ATP-binding region signature
P9WI65	PS50011,,Protein kinase domain profile;;PS00108,,Serine/Threonine protein kinases active-site signature;;PS00107,,Protein kinases ATP-binding region signature
P9WI66	PS50011,,Protein kinase domain profile;;PS00108,,Serine/Threonine protein kinases active-site signature;;PS00107,,Protein kinases ATP-binding region signature
P9WI67	PS50011,,Protein kinase domain profile;;PS00108,,Serine/Threonine protein kinases active-site signature;;PS00107,,Protein kinases ATP-binding region signature
P9WI69	PS50011,,Protein kinase domain profile;;PS00108,,Serine/Threonine protein kinases active-site signature;;PS00107,,Protein kinases ATP-binding region signature
P9WI70	PS50011,,Protein kinase domain profile;;PS00108,,Serine/Threonine protein kinases active-site signature;;PS00107,,Protein kinases ATP-binding region signature
P9WI71	PS50011,,Protein kinase domain profile;;PS00108,,Serine/Threonine protein kinases active-site signature;;PS00107,,Protein kinases ATP-binding region signature
P9WI72	PS50293,,TPR repeat region circular profile;;PS50011,,Protein kinase domain profile;;PS50005,,TPR repeat profile;;PS00108,,Serine/Threonine protein kinases active-site signature;;PS00107,,Protein kinases ATP-binding region signature
P9WI73	PS50293,,TPR repeat region circular profile;;PS50011,,Protein kinase domain profile;;PS50005,,TPR repeat profile;;PS00108,,Serine/Threonine protein kinases active-site signature;;PS00107,,Protein kinases ATP-binding region signature
P9WI74	PS50011,,Protein kinase domain profile;;PS00108,,Serine/Threonine protein kinases active-site signature;;PS00107,,Protein kinases ATP-binding region signature
P9WI75	PS50011,,Protein kinase domain profile;;PS00108,,Serine/Threonine protein kinases active-site signature;;PS00107,,Protein kinases ATP-binding region signature
P9WI76	PS50011,,Protein kinase domain profile;;PS00108,,Serine/Threonine protein kinases active-site signature;;PS00107,,Protein kinases ATP-binding region signature
P9WI77	PS50011,,Protein kinase domain profile;;PS00108,,Serine/Threonine protein kinases active-site signature;;PS00107,,Protein kinases ATP-binding region signature
P9WI78	PS51125,,NHL repeat profile;;PS50011,,Protein kinase domain profile;;PS00108,,Serine/Threonine protein kinases active-site signature;;PS00107,,Protein kinases ATP-binding region signature
P9WI79	PS51125,,NHL repeat profile;;PS50011,,Protein kinase domain profile;;PS00108,,Serine/Threonine protein kinases active-site signature;;PS00107,,Protein kinases ATP-binding region signature
P9WI80	PS51178,,PASTA domain profile;;PS50011,,Protein kinase domain profile;;PS00108,,Serine/Threonine protein kinases active-site signature;;PS00107,,Protein kinases ATP-binding region signature
P9WI81	PS51178,,PASTA domain profile;;PS50011,,Protein kinase domain profile;;PS00108,,Serine/Threonine protein kinases active-site signature;;PS00107,,Protein kinases ATP-binding region signature
P9WI82	PS50011,,Protein kinase domain profile;;PS00108,,Serine/Threonine protein kinases active-site signature;;PS00107,,Protein kinases ATP-binding region signature
P9WI83	PS50011,,Protein kinase domain profile;;PS00108,,Serine/Threonine protein kinases active-site signature;;PS00107,,Protein kinases ATP-binding region signature
P9WIA1	
P9WIC5	
P9WIC7	PS00175,,Phosphoglycerate mutase family phosphohistidine signature
P9WID5	PS00584,,pfkB family of carbohydrate kinases signature 2;;PS00583,,pfkB family of carbohydrate kinases signature 1
P9WIE3	PS51352,,Thioredoxin domain profile
