Protein	Family,,Description,,Region
P76576	1.25.40.10,,,,29-205
P77172	3.20.20.450,,EAL domain-like,,482-737
P77173	3.30.1400.10,,Cell-division protein ZipA, C-terminal domain,,189-328
P77285	N/A,,N/A,,N/A
P77318	3.40.720.10,,Alkaline Phosphatase, subunit A,,55-482
P77365	N/A,,N/A,,N/A
P77376	3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,5-126,298-316;;3.30.360.10,,Dihydrodipicolinate Reductase; domain 2,,127-297,317-330
P77395	3.40.30.10,,Glutaredoxin,,1-111;;1.25.40.10,,,,112-196;;1.25.40.10,,,,197-284
P77402	2.60.120.10,,Jelly Rolls,,12-97;;1.10.10.60,,Homeodomain-like,,177-232;;1.10.10.60,,Homeodomain-like,,233-289
P77504	N/A,,N/A,,N/A
P77510	3.30.450.20,,,,42-173;;3.30.450.20,,,,208-320;;3.30.565.10,,,,402-546
P77522	N/A,,N/A,,N/A
P77552	2.160.20.20,,,,2-141;;2.160.20.20,,,,142-401
P77554	3.20.20.140,,Metal-dependent hydrolases,,117-414;;2.30.40.10,,Urease, subunit C, domain 1,,80-116,415-453
P77598	3.30.1810.10,,YdfO-like,,1-128
P77625	1.10.150.240,,Putative phosphatase; domain 2,,18-80;;3.40.50.1000,,,,4-17,81-203
P77627	N/A,,N/A,,N/A
P77650	3.50.50.60,,,,6-113,238-307;;3.50.50.60,,,,114-237;;3.30.390.30,,,,318-400
P77674	3.40.605.10,,Aldehyde Dehydrogenase; Chain A, domain 1,,20-248,440-464;;3.40.309.10,,Aldehyde Dehydrogenase; Chain A, domain 2,,249-439
P77756	3.40.50.620,,HUPs,,1-231
P77804	N/A,,N/A,,N/A
P77961	3.10.20.70,,Glutamine synthetase, N-terminal domain,,4-106;;3.30.590.10,,Glutamine synthetase/guanido kinase,,107-461
P77962	3.40.640.10,,Type I PLP-dependent aspartate aminotransferase-like (Major domain),,38-289;;3.90.1150.10,,Aspartate Aminotransferase, domain 1,,12-37,290-391
P77965	2.40.50.150,,,,685-816;;2.40.50.100,,,,572-653;;2.30.150.10,,,,447-514;;3.90.1110.10,,,,128-299;;3.90.1100.10,,,,8-127,300-446,515-571;;2.40.270.10,,,,654-684,817-959;;3.90.1800.10,,RNA polymerase alpha subunit dimerisation domain,,969-1019
P77968	1.10.287.990,,Fe,Mn superoxide dismutase (SOD) domain,,21-86;;2.40.500.20,,,,88-199
P77970	3.30.590.10,,Glutamine synthetase/guanido kinase,,198-431;;1.20.120.1560,,,,586-724
P77972	3.30.390.10,,Enolase-like, N-terminal domain,,7-132;;3.20.20.120,,Enolase superfamily,,133-431
P77973	3.90.1260.10,,Argininosuccinate synthetase, chain A, domain 2,,66-94,175-355;;3.40.50.620,,HUPs,,7-65,95-174;;1.20.5.470,,Single helix bin,,365-400
P78010	3.20.20.70,,Aldolase class I,,1-243
P78012	3.50.7.10,,GroEL,,190-371;;3.30.260.10,,GROEL, domain 2,,136-189,372-408;;1.10.560.10,,GROEL, domain 1,,7-135,409-530
P78018	3.40.50.1260,,,,183-398;;3.40.50.1260,,,,10-182,399-404
P78022	1.10.601.10,,RNA Polymerase Primary Sigma Factor,,3-324;;1.10.10.10,,""winged helix"" repressor DNA binding domain,,325-405;;1.10.10.10,,""winged helix"" repressor DNA binding domain,,408-488
P78027	3.20.70.20,,,,154-289,344-721;;1.10.1650.20,,,,292-343
P78028	3.40.430.10,,Dihydrofolate Reductase, subunit A,,1-160
P78032	3.40.50.140,,,,1-155;;1.10.460.10,,Topoisomerase I, domain 2,,157-203,503-595;;2.70.20.10,,Topoisomerase I, domain 3,,204-292,431-502;;1.10.290.10,,Topoisomerase I, domain 4,,293-430
P78285	1.10.530.40,,,,1-165
P80046	3.40.718.10,,Isopropylmalate Dehydrogenase,,1-290;;3.40.718.10,,Isopropylmalate Dehydrogenase,,291-473
P80239	3.40.30.10,,Glutaredoxin,,1-186
P80240	1.10.287.180,,,,5-78;;3.10.50.30,,,,79-157
P80244	3.90.226.10,,2-enoyl-CoA Hydratase; Chain A, domain 1,,1-195
P80505	3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,3-152,318-328;;3.30.360.10,,Dihydrodipicolinate Reductase; domain 2,,153-317
P80507	3.90.80.10,,Inorganic Pyrophosphatase,,2-169
P80643	1.10.1200.10,,,,1-77
P80698	3.30.70.1050,,Trigger factor ribosome-binding domain,,3-114;;1.10.3120.10,,Trigger factor, domain 2,,115-150,249-423;;3.10.50.40,,,,151-248
P80700	1.10.8.10,,DNA helicase RuvA subunit, C-terminal domain,,1-55;;3.30.479.20,,Elongation Factor Tu; Chain B, domain 2,,56-147;;1.10.286.20,,,,193-239;;3.30.479.20,,Elongation Factor Tu; Chain B, domain 2,,155-192,240-273
P80858	3.30.499.20,,,,5-286;;3.30.499.10,,Aconitase, domain 3,,326-472
P80859	3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,1-179;;1.10.1040.10,,N-(1-d-carboxylethyl)-l-norvaline Dehydrogenase; domain 2,,180-435;;1.20.5.320,,6-Phosphogluconate Dehydrogenase, domain 3,,436-469
P80860	3.40.50.10490,,Glucose-6-phosphate isomerase like protein; domain 1,,1-58;;3.40.50.10490,,Glucose-6-phosphate isomerase like protein; domain 1,,227-417;;3.40.50.10490,,Glucose-6-phosphate isomerase like protein; domain 1,,59-226
P80865	3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,1-123;;3.40.50.261,,Succinyl-CoA synthetase domains,,124-289
P80866	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,5-250
P80868	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,1-291;;2.40.30.10,,Translation factors,,292-403;;3.30.70.870,,Elongation Factor G (Translational Gtpase), domain 3,,404-481;;3.30.70.240,,,,602-672;;3.30.230.10,,,,482-601,673-685
P80870	2.40.50.140,,Nucleic acid-binding proteins,,2-88
P80871	3.40.50.360,,,,1-174
P80875	2.60.60.30,,sav2460 like domains,,19-187
P80877	3.20.20.210,,,,388-508,524-755;;3.20.20.210,,,,8-387,509-523
P80879	1.20.1260.10,,,,1-145
P80885	3.20.20.60,,Phosphoenolpyruvate-binding domains,,4-70,168-332;;2.40.33.10,,PK beta-barrel domain-like,,71-167;;3.40.1380.20,,,,340-473;;3.50.30.10,,Phosphohistidine domains of PEP-utilising enzymes,,474-585
P80886	3.30.470.20,,ATP-grasp fold, B domain,,1-20,105-234;;3.30.1490.20,,ATP-grasp fold, A domain,,21-104;;3.40.50.261,,Succinyl-CoA synthetase domains,,240-385
P80918	N/A,,N/A,,N/A
P80920	N/A,,N/A,,N/A
P80921	N/A,,N/A,,N/A
P80922	N/A,,N/A,,N/A
P80923	1.10.1200.10,,,,1-78
P81100	2.60.60.30,,sav2460 like domains,,19-196
P81101	3.30.1360.40,,,,31-105;;1.10.132.20,,,,12-30,106-182
P81102	3.40.109.10,,NADH Oxidase,,1-202
P81181	3.40.50.10490,,Glucose-6-phosphate isomerase like protein; domain 1,,39-224;;3.40.50.10490,,Glucose-6-phosphate isomerase like protein; domain 1,,225-417
P94335	3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,15-107;;3.40.1190.10,,,,108-330;;3.90.190.20,,,,331-486
P94360	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,1-239;;2.40.50.100,,,,240-283,350-361;;2.40.50.140,,Nucleic acid-binding proteins,,284-349
P94364	N/A,,N/A,,N/A
P94400	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,1-229
P94409	2.160.20.10,,Single-stranded right-handed beta-helix, Pectin lyase-like,,6-374
P94417	1.20.120.1320,,,,39-135;;3.40.1160.10,,,,3-38,136-287;;3.30.2130.10,,VC0802-like,,289-451
P94425	3.30.70.100,,,,1-94
P94459	3.30.559.30,,,,192-353,384-448;;3.30.559.10,,Chloramphenicol Acetyltransferase,,13-191,354-383;;3.40.50.12780,,,,455-859;;3.30.300.30,,,,860-961;;3.40.50.1820,,,,962-1062;;3.30.559.30,,,,1218-1388,1409-1463;;3.30.559.10,,Chloramphenicol Acetyltransferase,,1063-1217,1389-1408;;3.40.50.12780,,,,1487-1894;;3.30.300.30,,,,1895-1990;;1.10.1200.10,,,,1991-2073;;3.30.559.30,,,,2258-2428,2449-2503;;3.30.559.10,,Chloramphenicol Acetyltransferase,,2089-2257,2429-2448;;3.40.50.12780,,,,2525-2926;;3.30.300.30,,,,2927-3027;;1.10.1200.10,,,,3028-3108;;3.30.559.10,,Chloramphenicol Acetyltransferase,,3109-3295;;3.30.559.30,,,,3296-3578
P94521	2.40.30.40,,Aminopeptidase/glucanase lid domain; domain 2,,77-164;;3.40.630.10,,Zn peptidases,,12-74,165-345
P94534	1.10.1060.10,,Fumarate Reductase Iron-sulfur Protein; Chain B, domain 2,,1-113
P94538	3.30.1330.30,,,,2-96;;3.40.1280.10,,,,97-248
P94547	3.40.50.12780,,,,14-450;;3.30.300.310,,,,455-558
P94549	3.90.226.10,,2-enoyl-CoA Hydratase; Chain A, domain 1,,1-258
P94565	3.20.20.70,,Aldolase class I,,1-275;;1.10.238.260,,,,279-390;;3.30.160.270,,,,391-501
P94592	3.30.1240.10,,,,81-210;;3.40.50.1000,,,,2-80,211-278
P94996	3.40.47.10,,,,33-477;;3.40.366.10,,Malonyl-Coenzyme A Acyl Carrier Protein, domain 2,,563-869;;3.30.70.3290,,,,478-562,870-914;;3.10.129.110,,,,923-1208;;3.40.50.11460,,,,1218-1356;;3.90.180.10,,Medium-chain alcohol dehydrogenases, catalytic domain,,1359-1683;;3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,1691-1943;;1.10.1200.10,,,,1961-2054
P95017	N/A,,N/A,,N/A
P95029	3.40.366.10,,Malonyl-Coenzyme A Acyl Carrier Protein, domain 2,,28-174;;3.30.70.3320,,,,195-283;;3.40.366.10,,Malonyl-Coenzyme A Acyl Carrier Protein, domain 2,,284-306;;1.20.930.70,,,,728-848;;3.20.20.70,,Aldolase class I,,391-644,890-906;;3.10.129.10,,Hotdog Thioesterase ,,1038-1328;;3.30.70.3330,,,,1474-1543;;3.90.25.70,,,,1638-1731;;3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,2094-2412;;3.40.47.10,,,,2435-2529,2598-2845;;3.30.70.2490,,,,2530-2597;;3.40.47.10,,,,2850-3061
P95032	N/A,,N/A,,N/A
P95034	3.50.50.60,,,,18-124,249-317;;3.50.50.60,,,,125-248;;3.30.390.30,,,,330-405
P95087	3.30.70.120,,,,1-118;;3.30.70.120,,,,119-229;;3.30.70.120,,,,243-368
P95090	N/A,,N/A,,N/A
P95125	3.40.50.1820,,,,46-354
P95137	3.40.50.150,,Vaccinia Virus protein VP39,,118-295
P95144	2.30.110.10,,Electron Transport, Fmn-binding Protein; Chain A,,19-115
P95172	1.20.120.1200,,,,18-179
P95185	3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,121-289;;3.90.180.10,,Medium-chain alcohol dehydrogenases, catalytic domain,,19-120,290-319
P95186	2.40.110.10,,Butyryl-CoA Dehydrogenase, subunit A, domain 2,,131-246;;1.20.140.10,,Butyryl-CoA Dehydrogenase, subunit A, domain 3,,247-398
P95189	3.30.540.10,,Fructose-1,6-Bisphosphatase, subunit A, domain 1,,1-137;;3.40.190.80,,,,145-258
P95197	3.40.50.20,,,,18-138;;3.30.1490.20,,ATP-grasp fold, A domain,,139-209;;3.30.470.20,,ATP-grasp fold, B domain,,218-419
P95217	3.40.50.10090,,,,42-183;;3.40.50.10090,,,,15-41,184-268;;1.10.10.10,,""winged helix"" repressor DNA binding domain,,282-380
P95225	3.40.1620.10,,YefM-like domain,,84-124
P95257	N/A,,N/A,,N/A
P95290	3.40.710.30,,,,39-406
P95690	3.30.342.10,,DNA Polymerase, chain B, domain 1,,51-224,420-474;;3.30.420.10,,,,225-419;;3.90.1600.10,,Palm domain of DNA polymerase,,497-557,619-693;;1.10.287.690,,Helix hairpin bin,,558-618
P95691	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,7-231;;2.40.30.10,,Translation factors,,236-353;;3.40.50.10050,,,,356-459;;2.40.30.10,,Translation factors,,468-557
P95867	2.60.40.10,,Immunoglobulins,,2-87;;1.10.10.760,,E-set domains of sugar-utilizing enzymes ,,432-465;;3.20.20.80,,Glycosidases,,101-431,466-488;;2.60.40.1180,,Golgi alpha-mannosidase II,,499-561
P95871	2.120.10.60,,Tricorn protease N-terminal domain,,52-325;;2.130.10.10,,YVTN repeat-like/Quinoprotein amine dehydrogenase ,,344-675;;3.30.750.44,,,,693-761;;2.30.42.10,,,,771-864;;3.90.226.10,,2-enoyl-CoA Hydratase; Chain A, domain 1,,865-1068
P95879	N/A,,N/A,,N/A
P95907	3.30.420.40,,,,3-249;;3.30.420.40,,,,251-496
P95931	3.40.50.1000,,,,9-85,149-217;;3.90.1070.10,,,,86-148
P95949	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,10-236;;3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,251-396
P95957	3.90.1150.10,,Aspartate Aminotransferase, domain 1,,18-64,291-395;;3.40.640.10,,Type I PLP-dependent aspartate aminotransferase-like (Major domain),,65-290
P95968	3.40.50.620,,HUPs,,61-417;;2.40.240.100,,,,418-424,517-574;;2.40.240.10,,Ribosomal Protein L25; Chain P,,425-516
P95970	2.40.50.140,,Nucleic acid-binding proteins,,4-143;;3.30.930.10,,Bira Bifunctional Protein; Domain 2,,146-493
P95979	3.30.342.10,,DNA Polymerase, chain B, domain 1,,4-149;;3.30.420.10,,,,163-369;;3.90.1600.10,,Palm domain of DNA polymerase,,407-472;;3.90.1600.10,,Palm domain of DNA polymerase,,473-601;;1.10.132.60,,,,606-759
P95980	3.40.1360.10,,,,164-262
P95991	3.90.1180.10,,,,9-148
P96041	3.30.930.10,,Bira Bifunctional Protein; Domain 2,,2-252;;2.40.30.130,,,,494-592;;3.30.980.10,,Threonyl-trna Synthetase; Chain A, domain 2,,596-663,720-737;;3.30.54.20,,,,664-719
P96076	N/A,,N/A,,N/A
P96217	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,137-348
P96218	3.60.20.10,,Glutamine Phosphoribosylpyrophosphate, subunit 1, domain 1,,18-448;;3.20.20.70,,Aldolase class I,,449-806;;3.20.20.70,,Aldolase class I,,807-1239;;2.160.20.60,,,,1243-1516
P96258	N/A,,N/A,,N/A
P96267	3.40.50.1820,,,,2-196
P96270	N/A,,N/A,,N/A
P96271	3.40.1110.10,,Calcium-transporting ATPase, cytoplasmic domain N,,973-983;;2.70.150.10,,Calcium-transporting ATPase, cytoplasmic transduction domain A,,663-682,739-868;;1.20.1110.10,,Calcium-transporting ATPase, transmembrane domain,,683-738,869-960;;3.40.50.1000,,,,961-972;;1.20.1110.10,,Calcium-transporting ATPase, transmembrane domain,,1274-1355;;3.40.50.1000,,,,1134-1273;;3.40.1110.10,,Calcium-transporting ATPase, cytoplasmic domain N,,1053-1133
P96284	3.40.47.10,,,,49-477
P96285	3.40.366.10,,Malonyl-Coenzyme A Acyl Carrier Protein, domain 2,,84-380;;3.30.70.3290,,,,2-83,381-424;;3.10.129.110,,,,434-720;;3.40.50.11460,,,,721-889;;3.90.180.10,,Medium-chain alcohol dehydrogenases, catalytic domain,,892-1219;;3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,1225-1483;;1.10.1200.10,,,,1499-1592
P96288	N/A,,N/A,,N/A
P96291	N/A,,N/A,,N/A
P96353	N/A,,N/A,,N/A
P96356	N/A,,N/A,,N/A
P96374	3.30.420.40,,,,1-133;;3.30.420.150,,Exopolyphosphatase. Domain 2,,136-318
P96396	3.40.50.12780,,,,26-429;;3.30.300.310,,,,434-537
P96399	3.40.50.1820,,,,2-292
P96404	3.90.226.10,,2-enoyl-CoA Hydratase; Chain A, domain 1,,1-204;;1.10.12.10,,Lyase 2-enoyl-coa Hydratase, Chain  A, domain 2,,205-262
P96409	N/A,,N/A,,N/A
P96502	N/A,,N/A,,N/A
P96585	3.30.70.270,,,,134-282
P96596	N/A,,N/A,,N/A
P96611	3.40.30.10,,Glutaredoxin,,1-106
P96613	3.40.1390.10,,MurE/MurF N-terminal domain,,2-84;;3.40.1190.10,,,,87-308;;3.90.190.20,,,,311-455
P96615	N/A,,N/A,,N/A
P96619	2.50.20.10,,outer membrane lipoprotein receptor (LolB), chain A,,31-235
P96625	1.10.10.10,,""winged helix"" repressor DNA binding domain,,12-147
P96679	3.40.630.30,,,,120-249
P96683	1.10.10.10,,""winged helix"" repressor DNA binding domain,,2-96
P96686	3.40.50.12740,,,,3-209
P96692	3.40.109.10,,NADH Oxidase,,1-206
P96701	1.10.357.10,,Tetracycline Repressor, domain 2,,1-187
P96716	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,1-235
P96718	3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,1-196;;1.20.5.100,,,,197-228;;3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,229-438
P96722	N/A,,N/A,,N/A
P96805	N/A,,N/A,,N/A
P96812	1.10.357.10,,Tetracycline Repressor, domain 2,,13-197
P96824	3.40.309.10,,Aldehyde Dehydrogenase; Chain A, domain 2,,257-457;;3.40.605.10,,Aldehyde Dehydrogenase; Chain A, domain 1,,56-256,458-477
P96868	3.40.50.150,,Vaccinia Virus protein VP39,,43-231
P96872	1.10.260.150,,,,54-351;;3.30.70.2390,,,,362-446
P96874	N/A,,N/A,,N/A
P96876	1.20.1510.10,,Cation efflux protein cytoplasmic domain-like,,90-218
P96877	3.30.1540.10,,formyl-coa transferase, domain 3,,238-333;;3.40.50.10540,,Crotonobetainyl-coa:carnitine coa-transferase; domain 1,,9-237,334-369
P96878	3.40.1050.10,,Beta-carbonic Anhydrase; Chain A,,537-746
P96890	3.30.470.130,,,,2-461;;2.40.50.100,,,,524-600
P96923	N/A,,N/A,,N/A
P97152	3.30.420.470,,,,1-95
P99175	N/A,,N/A,,N/A
P9WF13	3.40.1620.10,,YefM-like domain,,7-49
P9WF14	N/A,,N/A,,N/A
P9WF15	3.40.1620.10,,YefM-like domain,,66-102
P9WF19	N/A,,N/A,,N/A
P9WF23	3.40.1620.10,,YefM-like domain,,8-56
P9WF27	1.10.490.140,,,,160-289
P9WF29	1.10.287.1040,,XseB-like,,19-85
P9WF45	3.10.28.10,,Homing endonucleases,,1-211;;1.10.10.10,,""winged helix"" repressor DNA binding domain,,216-307
P9WFB1	3.40.50.1010,,5'-nuclease,,9-111
P9WFC9	3.40.50.620,,HUPs,,1-146
P9WFD3	3.40.50.12370,,,,7-265
P9WFD7	3.40.50.12370,,,,6-297
P9WFD9	3.40.50.12370,,,,7-277
P9WFG2	N/A,,N/A,,N/A
P9WFG3	3.30.70.1880,,,,149-292
P9WFG9	2.40.128.20,,,,27-226
P9WFH5	3.40.50.150,,Vaccinia Virus protein VP39,,2-312
P9WFH7	3.40.50.150,,Vaccinia Virus protein VP39,,9-303
P9WFI4	N/A,,N/A,,N/A
P9WFI5	3.40.50.150,,Vaccinia Virus protein VP39,,7-308
P9WFK0	N/A,,N/A,,N/A
P9WFK9	3.30.70.990,,YajQ-like, domain 2,,11-100;;3.30.70.860,,,,5-10,101-163
P9WFL3	N/A,,N/A,,N/A
P9WFM7	N/A,,N/A,,N/A
P9WFN1	3.90.280.10,,Phosphatidylethanolamine-binding Protein;,,1-176
P9WFQ0	N/A,,N/A,,N/A
P9WFQ1	3.30.70.930,,,,1-99
P9WFR1	3.40.50.2000,,Glycogen Phosphorylase B;,,41-252;;3.40.50.2000,,Glycogen Phosphorylase B;,,253-408
P9WFS2	N/A,,N/A,,N/A
P9WFS3	N/A,,N/A,,N/A
P9WFW9	3.60.120.10,,Anthranilate synthase,,3-371
P9WFX5	1.20.970.10,,Transferase, Pyrimidine Nucleoside Phosphorylase; Chain C,,25-90;;3.40.1030.10,,Pyrimidine Nucleoside Phosphorylase; Chain A, domain 2,,99-370
P9WFX7	3.20.20.70,,Aldolase class I,,1-272
P9WFZ1	3.10.330.20,,,,1-67;;3.40.50.150,,Vaccinia Virus protein VP39,,68-280
P9WFZ7	1.10.3720.10,,MetI-like,,89-319
P9WG05	1.10.3720.10,,MetI-like,,81-319
P9WG17	N/A,,N/A,,N/A
P9WG33	3.20.20.70,,Aldolase class I,,6-368
P9WG38	N/A,,N/A,,N/A
P9WG39	3.40.50.970,,,,8-180;;3.40.50.1220,,TPP-binding domain,,192-342;;3.40.50.970,,,,343-545
P9WG45	3.30.565.10,,,,19-218;;3.30.230.10,,,,255-427;;3.40.50.670,,,,433-675
P9WG47	3.90.199.10,,Topoisomerase II, domain 5,,39-246,345-380,470-498;;3.30.1360.40,,,,247-344;;1.10.268.10,,Topoisomerase, domain 3,,381-469;;2.120.10.90,,GyrA/ParC C-terminal domain-like ,,512-820
P9WG48	N/A,,N/A,,N/A
P9WG49	3.40.50.140,,,,17-162;;1.10.460.10,,Topoisomerase I, domain 2,,163-211,515-607;;2.70.20.10,,Topoisomerase I, domain 3,,212-302,435-514;;1.10.290.10,,Topoisomerase I, domain 4,,303-434
P9WG74	N/A,,N/A,,N/A
P9WG75	3.20.20.70,,Aldolase class I,,1-222
P9WG86	N/A,,N/A,,N/A
P9WG87	1.20.1720.10,,,,21-207;;1.20.1250.20,,MFS general substrate transporter like domains,,276-501
P9WGA0	N/A,,N/A,,N/A
P9WGA1	N/A,,N/A,,N/A
P9WGC3	3.90.1010.10,,,,6-143
P9WGC7	3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,1-137;;3.40.50.261,,Succinyl-CoA synthetase domains,,138-300
P9WGD5	2.40.50.140,,Nucleic acid-binding proteins,,1-120
P9WGD8	N/A,,N/A,,N/A
P9WGD9	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,223-410;;1.20.120.140,,,,124-222,411-420
P9WGE1	3.30.750.24,,SpoIIaa-like,,1-121
P9WGE7	1.10.287.990,,Fe,Mn superoxide dismutase (SOD) domain,,21-84;;2.40.500.20,,,,85-207
P9WGF2	N/A,,N/A,,N/A
P9WGF3	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,1-257;;3.30.70.1620,,,,573-656;;1.20.1060.20,,,,505-572,657-661;;3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,1051-1182
P9WGF9	3.40.50.1240,,Phosphoglycerate mutase-like,,1-158
P9WGG5	1.10.1740.10,,,,46-130;;1.10.10.10,,""winged helix"" repressor DNA binding domain,,162-236;;3.10.450.50,,,,245-364
P9WGH8	N/A,,N/A,,N/A
P9WGH9	1.10.1740.10,,,,17-102;;1.10.10.10,,""winged helix"" repressor DNA binding domain,,131-200
P9WGI1	1.20.120.1810,,,,221-364;;1.10.10.10,,""winged helix"" repressor DNA binding domain,,368-443;;1.10.10.10,,""winged helix"" repressor DNA binding domain,,451-528
P9WGJ3	1.20.1440.100,,SG protein - dephosphorylation function,,70-146;;3.40.50.1000,,,,59-69,147-271
P9WGJ4	N/A,,N/A,,N/A
P9WGJ5	3.30.110.150,,,,127-209
P9WGK1	3.30.450.40,,,,61-208;;3.30.450.40,,,,229-381;;3.30.565.10,,,,451-573
P9WGK3	3.30.450.40,,,,59-210;;3.30.450.40,,,,231-384;;3.30.565.10,,,,451-578
P9WGK4	N/A,,N/A,,N/A
P9WGK5	1.10.287.130,,,,151-222;;3.30.565.10,,,,228-381
P9WGK8	N/A,,N/A,,N/A
P9WGK9	1.20.1480.50,,,,201-289;;1.10.287.130,,,,290-366;;3.30.565.10,,,,367-519
P9WGL3	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,23-233;;3.40.50.620,,HUPs,,239-367;;1.20.120.620,,Backbone structure of the membrane domain of e. Coli histidine kinase receptor kdpd,,,395-500;;1.10.287.130,,,,623-698;;3.30.565.10,,,,723-859
P9WGL5	3.30.450.280,,,,1-135;;3.30.450.20,,,,136-286;;3.30.565.10,,,,356-497
P9WGL7	3.40.50.2300,,,,3-132
P9WGL9	3.40.50.2300,,,,1-80;;1.10.10.10,,""winged helix"" repressor DNA binding domain,,120-227
P9WGM0	N/A,,N/A,,N/A
P9WGM1	3.40.50.2300,,,,5-87;;1.10.10.10,,""winged helix"" repressor DNA binding domain,,124-233
P9WGM3	3.40.50.2300,,,,1-142;;1.10.10.10,,""winged helix"" repressor DNA binding domain,,143-205
P9WGM5	3.40.50.12740,,,,9-215
P9WGM7	3.40.50.2300,,,,2-84;;1.10.10.10,,""winged helix"" repressor DNA binding domain,,126-228
P9WGM9	3.40.50.2300,,,,1-82;;1.10.10.10,,""winged helix"" repressor DNA binding domain,,128-229
P9WGN1	3.40.50.2300,,,,2-80;;1.10.10.10,,""winged helix"" repressor DNA binding domain,,119-226
P9WGN7	1.20.5.1030,,Preprotein translocase secy subunit,,102-159
P9WGN8	N/A,,N/A,,N/A
P9WGN9	3.30.70.3220,,,,96-180
P9WGP5	3.90.1440.10,,Pre-protein croslinking domain of SecA,,228-349;;3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,18-227,350-396;;3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,398-615;;1.10.3060.10,,Helical scaffold and wing domains of SecA,,644-835
P9WGQ1	3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,2-221
P9WGR0	N/A,,N/A,,N/A
P9WGR1	3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,1-269
P9WGR9	3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,2-247
P9WGS1	3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,37-307
P9WGT2	N/A,,N/A,,N/A
P9WGT3	3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,2-247
P9WGT9	3.40.190.10,,Periplasmic binding protein-like II,,132-280,295-311;;3.40.190.10,,Periplasmic binding protein-like II,,52-131,281-294,312-356
P9WGV2	N/A,,N/A,,N/A
P9WGV3	3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,256-416;;3.40.50.1480,,,,23-255,417-495
P9WGY8	N/A,,N/A,,N/A
P9WGY9	3.90.1100.10,,,,44-185,374-518,587-643;;3.90.1110.10,,,,186-373;;2.40.270.10,,,,42-43,719-753,881-1040;;2.40.50.150,,,,754-880;;2.30.150.10,,,,519-586;;2.40.50.100,,,,644-718;;3.90.1800.10,,RNA polymerase alpha subunit dimerisation domain,,1049-1103
P9WGZ1	3.30.1360.10,,,,15-47,169-216;;2.170.120.12,,RNA Polymerase Alpha Subunit; Chain A, domain 2,,48-168;;1.10.150.20,,5' to 3' exonuclease, C-terminal subdomain,,239-311
P9WH05	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,13-218;;3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,222-430;;3.30.70.330,,,,473-542
P9WH07	3.40.50.150,,Vaccinia Virus protein VP39,,4-222;;1.10.8.100,,,,230-294
P9WH34	N/A,,N/A,,N/A
P9WH35	1.10.1050.10,,Ribosomal Protein S4 Delta 41; Chain A, domain 1,,6-89,187-201;;3.10.290.10,,Structural Genomics Hypothetical 15.5 Kd Protein In Mrca-pcka Intergenic Region; Chain,,90-186
P9WH37	3.30.300.20,,,,17-106;;3.30.1140.32,,,,107-208
P9WH41	1.20.58.110,,,,1-86
P9WH42	N/A,,N/A,,N/A
P9WH43	2.40.50.140,,Nucleic acid-binding proteins,,22-117;;2.40.50.140,,Nucleic acid-binding proteins,,118-200;;2.40.50.140,,Nucleic acid-binding proteins,,204-283;;2.40.50.140,,Nucleic acid-binding proteins,,284-368
P9WH45	3.30.860.10,,30s Ribosomal Protein S19; Chain A,,1-93
P9WH48	N/A,,N/A,,N/A
P9WH49	4.10.640.10,,30s Ribosomal Protein S18,,1-84
P9WH51	2.40.50.140,,Nucleic acid-binding proteins,,56-135
